"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.051409,2.2245,-0.75289,-0.37754,2.0348,1.1932,-1.8115
-0.025713,1.2481,0.85628,1.4866,-0.60279,-0.8866,-1.6072
-0.067508,-0.41501,-0.49709,1.4665,-2.2068,-1.1106,-0.57234
-0.10649,-0.044809,1.7054,2.1167,-0.049964,-0.4358,-0.19497
-0.043016,-0.088264,0.11136,0.41331,-0.29497,-0.31783,0.1897
-0.097798,0.43032,-0.80684,1.1586,0.10695,-0.78814,-0.018605
-0.067413,-0.94956,1.5696,-1.1281,-0.24041,-0.45502,0.1713
-0.025967,-0.71749,0.87883,-1.3124,0.12728,0.28363,0.010807
-0.12249,-0.68555,1.0058,-0.38387,0.31838,-0.11676,0.194
-0.064415,-1.1068,0.30271,-0.251,-0.065252,0.29705,0.77855
-0.022005,-0.54649,0.55881,0.64075,-0.76953,0.087307,-0.077017
-0.052874,-0.32671,-1.468,-2.2574,1.3373,0.28445,1.2786
-0.058028,0.76672,-1.8701,-0.50512,0.89974,0.95859,2.4371
2.3639,-0.10082,-0.035568,-0.070194,2.7953,-0.62909,0.89169
2.2958,-0.10016,-0.035568,-0.070194,-0.032481,2.4659,-0.35178
-0.70329,-0.093958,-0.035568,-0.070194,-3.1516,1.3921,-1.2452
-0.45978,-0.10713,-0.035568,-0.070194,-0.16068,-0.93189,-0.32678
-0.22217,-0.093943,-0.035568,-0.070194,-0.14772,-0.91324,0.47256
0.74716,-0.093823,-0.035568,-0.070194,0.082184,-1.4718,0.73969
-2.6175,-0.092211,-0.035568,-0.070194,-0.032525,-0.28196,-0.022869
-2.2852,-0.096286,-0.035568,-0.070194,-0.16107,0.53037,0.51915
0.30878,-0.1093,-0.035568,-0.070194,-0.13209,0.71479,0.7072
-0.3935,-0.096797,-0.035568,-0.070194,0.12825,0.26131,-0.46663
0.070168,-0.095281,-0.035568,-0.070194,-0.55908,0.1001,-0.7005
0.085802,-0.08511,-0.035568,-0.070194,1.4792,-0.23904,-0.0843
1.2031,-0.089642,-0.035568,-0.070194,1.0565,-0.13185,0.44945
3.8158,2.5639,-0.98849,-1.6691,2.4597,0.092461,2.8402
0.57629,1.2229,0.81506,1.648,0.51801,0.15482,-3.2708
-3.3036,-0.49566,0.039273,1.8135,-2.2725,0.047915,-2.6009
-0.016411,0.10554,-0.35896,1.7227,-0.37739,0.0051017,0.06598
-0.069677,-0.90888,1.154,0.81199,-0.38768,0.022609,-0.60739
-0.29258,0.89123,-0.26353,0.806,-0.33256,-0.0088719,0.50674
-0.87647,-1.1598,-0.32024,0.67157,-0.28872,-0.047387,-0.46258
-0.54239,-1.5543,1.3176,-1.4412,0.60571,0.128,-0.075816
-0.54993,-0.67838,-0.10974,-0.19237,-0.25789,0.11363,0.52642
0.18585,-0.41953,0.5008,-1.8604,-0.3033,-0.15015,1.1655
-0.58984,-0.39625,-0.41575,-2.0567,-0.36351,0.215,0.35531
1.4228,0.053543,-1.5242,-1.1376,0.4543,0.19946,1.6092
1.546,0.87741,0.43428,-0.89819,0.78885,-0.043503,0.66425
1.9807,2.4863,-1.43,-0.075679,-0.067602,-1.0834,1.0581
0.28554,1.4281,0.89698,-0.12167,-0.094987,-1.6762,-1.1569
-2.2064,0.23771,-0.082349,-0.04646,-0.040496,-0.85867,-1.4838
-0.051793,-0.55543,0.65511,-0.039655,-0.039275,-0.38739,0.25091
-0.31217,-1.3803,2.7269,-0.085482,-0.091138,-0.4851,-0.054246
