"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.039828,3.3927,-0.94425,-2.3805,3.3441,0.84457,1.2062
-0.038286,1.7603,-0.99162,0.57759,1.3748,0.28988,-1.5028
-0.089798,-1.2519,0.78667,2.168,-3.3491,-1.0096,-1.5201
-0.077071,-0.13232,2.2835,0.80964,-0.9398,-1.4233,0.041617
-0.083563,0.050558,-0.36458,0.67595,0.12307,-0.84607,-0.29285
-0.034183,0.66282,-0.14358,1.2011,0.27694,-0.57099,-0.060337
-0.016068,-1.2935,1.1641,0.54884,0.058527,-0.3739,-0.29703
-0.075261,-1.3928,-0.32739,1.0589,0.074172,-0.4343,-0.21963
-0.091328,-0.81714,0.19938,-0.0064821,-0.50738,-0.26403,0.36111
-0.054291,-0.53055,2.0801,-2.0444,-0.42078,0.15391,0.42584
-0.051668,-0.31215,-1.5082,-1.6861,-0.78124,0.041456,1.002
-0.067808,0.002396,-3.6033,-1.6973,0.88702,1.6794,1.0191
-0.058838,0.78313,0.71848,-0.41573,1.2077,3.0352,-0.38224
4.4825,-0.060367,0.04923,0.059055,2.4853,-0.11269,2.6934
3.0552,-0.08227,0.04923,0.059055,-0.41627,-0.12064,3.6052
-1.2862,-0.11916,0.04923,0.059055,-2.4335,-1.0242,-0.62156
0.80881,-0.071232,0.04923,0.059055,-0.15623,-0.16165,0.63629
-0.52152,-0.10813,0.04923,0.059055,-0.4031,0.3268,0.0059392
0.0049465,-0.11002,0.04923,0.059055,0.041108,0.012185,0.47741
-3.1386,-0.094264,0.04923,0.059055,-0.058024,0.37738,-3.5161
-3.1284,-0.1212,0.04923,0.059055,0.014901,-0.64593,-3.6594
0.25668,-0.071688,0.04923,0.059055,-0.18476,-0.36739,0.59254
-0.40905,-0.030018,0.04923,0.059055,0.17552,-0.22321,-0.23378
0.10237,-0.099449,0.04923,0.059055,-0.51675,-1.4946,0.017476
-0.032267,-0.090078,0.04923,0.059055,1.2783,0.14636,-0.21646
1.2344,-0.07444,0.04923,0.059055,1.1182,0.6146,1.4511
2.4024,2.9405,0.026186,-1.0437,2.0557,-0.18298,1.2431
1.0032,1.3214,-0.89021,0.76243,-0.0028484,-0.13955,-0.95345
-1.6066,-1.2759,-0.65822,1.7434,-2.1511,-0.25881,-1.2637
-0.56546,0.45622,0.40472,1.3398,0.040011,-0.30272,-0.19521
-0.40029,-0.66465,1.8197,0.96895,-0.25634,-0.26306,-0.46311
0.59984,-0.2484,1.4709,1.0824,-0.24367,-0.24506,0.26479
-0.94999,-0.96176,1.0327,-0.49843,0.3397,-0.27798,-0.47425
-0.86229,-0.76229,-0.65002,-0.26582,-0.27854,-0.17606,-0.10762
0.014783,-0.56912,0.54897,-0.26476,-0.55403,-0.22411,0.5136
-0.056489,-0.48874,-0.17514,-0.89337,0.21506,-0.28049,0.1784
-0.17816,-0.40643,-2.6544,-0.73453,-0.6053,-0.197,0.093295
0.34186,0.13196,-0.029934,-1.8916,1.2225,-0.22589,0.76539
0.68651,0.84247,0.19624,-0.11695,0.96874,-0.27032,0.37439
2.5741,2.0501,-0.92445,0.08158,-0.036397,-0.24108,1.2856
1.2301,2.2654,0.018745,0.036907,-0.012888,-0.24108,-1.6559
-2.1722,-1.0856,0.43922,0.083371,-0.020813,-0.24108,-1.5819
-0.353,-0.6675,0.96137,0.012943,-0.089931,-0.24108,-0.20667
-0.1348,0.32482,0.58679,0.0050186,-0.068186,-0.24108,-0.35169
0.094535,0.22984,1.7601,-0.020871,-0.05953,-0.24108,-0.14571
-0.71156,-0.94014,0.012066,0.096726,-0.043473,-0.24108,-0.15465
-0.74519,-1.0987,-0.73237,0.26323,-0.015566,-0.24108,-0.13041
0.056575,-0.54564,1.0177,0.036385,-0.034705,-0.24108,0.49938
-0.080177,-0.85129,-1.374,0.0012062,-0.014077,-0.24108,0.2957
-0.15497,-0.26563,-0.27249,0.099251,-0.036139,-0.24108,-0.32026
0.30445,-0.34901,-0.33335,0.041355,-0.018983,-0.24108,1.1469
0.70316,0.47417,-0.67026,0.010444,-0.062079,-0.24108,0.39448
-0.45607,-0.29121,1.0337,-0.48352,-2.657,1.1559,-0.6981
-0.61635,-0.36129,-0.51963,-0.70721,-1.2239,2.741,-0.27667
0.055142,-0.303,-1.3096,-0.23557,0.073266,-0.075013,0.16609
-0.12495,-0.19943,-0.21392,-0.39317,-0.10769,0.80787,-0.42267
-0.028817,-0.13936,0.016157,-0.20465,-0.026085,-0.29441,0.67893
-0.078958,-0.13009,-0.38187,0.18291,-0.0086973,2.5067,-0.24221
-0.052653,-0.12666,-0.050181,-0.088543,-0.04733,-0.033098,-0.75633
-0.066796,-0.10776,0.0764,-0.10059,-0.06783,-1.317,0.56484
-0.058536,-0.089474,0.037592,0.061304,-0.083966,0.31196,0.23667
-0.064592,-0.086404,0.054345,0.049144,-0.024801,0.66202,-0.12267
-0.057963,-0.091712,0.048509,0.074376,-0.055603,1.0479,0.38043
-0.068788,-0.091502,0.044369,0.020708,-0.029679,-0.95621,0.044386
-0.042271,-0.081161,0.075055,0.0072727,-0.072087,-0.45924,-0.48876
2.1556,3.7036,-0.82571,-2.2859,2.4649,1.8009,1.9011
0.19722,1.4631,0.71452,1.1857,0.10475,0.16274,-1.1769
-1.7675,-1.4969,-0.35944,1.0779,-2.3976,-1.5555,-2.0355
0.065783,0.65708,2.1114,1.8758,-0.14994,-0.95028,0.22018
-0.55917,0.080949,1.2736,1.8656,-0.65669,-0.65897,-0.18074
-0.16529,-0.20729,-0.74654,0.033252,0.47967,-0.63152,-0.043148
-0.42417,-0.88517,0.58591,0.70732,0.14966,-0.46419,-0.37427
