"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.0017972,4.637,-1.5119,-1.2463,5.2166,0.59443,0.021912
0.029561,2.1186,-0.9454,0.24396,1.242,0.26147,-1.2626
-0.0082853,-0.52421,0.94276,1.6327,-2.8035,-0.38487,-1.6129
-0.025912,-0.39984,1.8868,1.023,-1.7034,-0.63949,-0.34787
0.026428,0.34635,0.1875,0.75202,0,-0.42405,-0.094861
-0.0026115,0.28417,-0.0013204,0.92138,0.31938,-0.2086,-0.11432
-0.0031964,-1.1149,0.75394,0.75202,0.17743,-0.11067,-0.21163
-0.028606,-1.6124,-0.0013204,0.71815,-0.035487,-0.091082,-0.055937
-0.016396,-1.0528,0.56513,-0.29797,-0.49682,0.026434,0.46954
-0.023727,-0.61748,1.3204,-1.7544,-0.70974,0.18312,0.85879
-0.014623,-0.30657,-1.7007,-1.9915,-0.5323,0.39857,1.3843
0.028909,0.22199,-3.2112,-1.6189,0.92266,1.2212,1.1702
0.71214,-0.26446,-1.5119,-2.3641,1.0646,4.1199,0.83933
4.3211,-0.56222,-0.56777,-1.6867,1.313,3.2973,3.3694
3.8242,-0.016764,-0.0013204,-0.027002,-0.31938,0.0068483,3.7781
0.067637,0.0035404,-0.0013204,-0.027002,-2.2712,-0.36529,0.8004
0.1424,0.0065234,-0.0013204,-0.027002,-0.88717,0.026434,0.35277
0.011568,-0.037926,-0.0013204,-0.027002,-0.31938,0.32023,0.56685
-1.035,-0.055403,-0.0013204,-0.027002,-0.070974,0.24188,-0.46464
-3.689,-0.084832,-0.0013204,-0.027002,0,0.30064,-3.7927
-3.6142,-0.013148,-0.0013204,-0.027002,-0.035487,-0.14984,-3.8316
-0.73601,-0.02542,-0.0013204,-0.027002,-0.070974,-0.091082,-0.46464
-0.081879,-0.057009,-0.0013204,-0.027002,-0.035487,-0.11067,0.19707
-0.025811,0.027988,-0.0013204,-0.027002,-0.035487,-0.58074,-0.075399
0.47881,-0.035713,-0.0013204,-0.027002,1.313,0.16354,0.37223
0.53488,0.64713,1.5092,1.2262,1.1711,-4.2566,-0.75658
1.974,2.8959,1.3204,1.0907,1.313,-4.763,-0.99012
1.2638,1.6211,-0.9454,0.5488,0,-0.018067,-0.69819
-1.278,-0.49312,-0.75659,1.4972,-1.9518,0.00090413,-1.3015
-1.0724,-0.088926,0.56513,1.3278,-0.5323,0.03904,-0.54249
-0.21271,-0.33766,1.8868,1.0569,-0.24841,-0.006566,-0.21163
0.23584,-0.5553,1.8868,0.68428,-0.17743,-0.037786,0.060836
-0.84815,-0.9284,0.94276,-0.23023,0.21292,-0.015038,-0.2311
-0.99767,-0.9284,-0.19014,-0.43345,-0.28389,0.039675,0.021912
-0.15664,-0.67966,0.1875,-0.50119,-0.49682,0.049375,0.58632
-0.0071212,-0.5553,-0.75659,-0.8399,-0.070974,-0.0055055,0.43062
