"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.010543,0.059432,0.64486,0.38391,1.0643,1.9941,1.0028,2.1037,0.98714,4.6685,1.7795,2.0051,0.73621,2.015,0.41786,1.4401,0.89271
0,0.019977,0.083937,2.4372,1.1054,0.86475,0.2883,0.83566,1.2808,0.79484,3.7294,4.0544,3.0406,1.0486,3.1394,0.7752,1.4667,1.5186
0,0.00062737,0.036765,2.9955,1.6981,1.3304,0.024025,0.16713,4.1897,1.2008,3.1162,1.6011,2.9291,1.0746,1.4424,3.9172,0.7067,1.2929
0,0.0024621,0.0091822,2.1434,2.1876,1.8625,0,1.3371,2.6864,1.3931,3.3893,0.97658,1.8931,0.69716,1.4559,2.9833,0.21334,0.82088
0,0.012247,0.034591,2.5842,2.703,2.1286,0,1.1699,3.2435,1.8632,3.2684,0.75355,4.5432,0.567,3.4125,4.0308,0.080004,0.48227
0,0.046654,0.11395,2.3491,2.4711,2.9268,0,1.6713,4.1143,2.2478,3.2116,0.61973,1.0051,0.42382,1.2105,3.2307,0.25335,0.34887
0,0.004919,0.15561,2.4079,2.8318,2.2617,0.1922,3.1755,2.319,2.3119,2.9087,0.97658,2.4182,0.21555,2.5336,2.2211,0.12001,0.26679
0,0.010715,0.06553,1.879,2.368,2.9934,0.93697,2.507,1.6784,2.4401,2.0341,0.93197,3.6147,0.15047,3.9707,3.5252,0,0.17444
0,0.046841,0.11059,1.4088,2.1361,2.6608,1.5616,3.0084,2.4045,2.5256,3.7348,0.75355,4.3883,0.098405,2.0413,0.19002,0.053336,0.082088
0,0,0,0.90931,1.4661,2.7273,2.0661,2.3398,0.84502,2.4828,3.1936,1.155,1.8807,0.098405,4.9819,2.4726,0.06667,0.041044
0,0.031035,0.063352,0.58609,0.89926,2.9268,2.2343,3.0084,1.5274,2.141,1.8015,0.75355,2.286,0.13745,3.9359,1.493,0.36002,0.14365
0,0.0039547,0.11221,0.49794,0.59005,2.1951,2.2583,2.0056,2.63,1.7991,2.2144,0.53052,4.4917,0.20254,1.4036,2.0019,0.49336,0.236
0,0.018598,0.05195,0.79177,0.53852,1.5965,2.0181,2.3398,2.3038,1.3931,2.6502,1.5565,3.1688,0.28064,3.7751,3.0929,1.1067,0.38992
0.55095,0.7696,0.67114,0.07492,0.0016468,0,2.0181,0,0.57561,0.046989,3.7776,1.2888,3.5566,2.962,3.3713,2.5918,2.0534,1.8778
1.7631,4.1343,0.84134,0.013378,0.086603,0,0.43245,0,3.4796,0.046989,3.4538,4.3666,3.4454,3.0922,3.3044,1.5231,4.6535,2.8731
2.9476,4.3074,1.4087,0,0.0482,0,0.0961,0,0.90717,0.046989,1.9624,1.0212,3.0241,3.5608,2.4891,2.2367,4.8802,3.8274
3.5537,4.2882,3.3944,0.021532,0.016236,0,0,0,1.4023,0.046989,2.6174,0.26289,4.2838,3.4697,0,2.8568,4.8536,4.2788
4.325,4.2689,2.8837,0.049233,0.056806,0,0,0,1.7376,0.046989,3.5585,0.039862,2.1175,3.4827,1.4113,1.6265,4.3202,4.8124
4.9586,4.7881,2.9972,0.023531,0.018515,0,0,0,4.9709,0.046989,2.5665,0.039862,4.519,3.4957,2.9472,1.0933,4.3335,4.7406
5.5922,3.7306,2.8837,0.025082,0.11071,0,0.0961,0,2.0521,0.046989,2.5312,0.084467,2.8238,3.3395,2.8813,3.971,4.6936,5.1921
2.3967,0.50042,6.7984,0.049391,0.065087,0,1.1051,0,3.7953,0.046989,4.9247,0.039862,2.3757,3.2614,3.9141,1.1162,2.1334,4.6893
0.60605,0.038969,6.0608,0.0077306,0,0,1.6337,0,1.4884,0.046989,3.6795,0.039862,4.3537,3.3786,3.3597,5.0098,1.6401,3.4169
0.13774,0.019742,3.7915,0.054316,0.029554,0,2.0181,0,2.3793,0.046989,3.295,0.039862,1.1209,3.2354,3.6201,2.0862,1.5067,2.8115
0.027548,0.019742,2.7703,0.047963,0.048709,0,2.1863,0,4.0188,0.046989,1.9987,0.039862,1.7789,3.2484,3.2488,1.1031,1.3201,2.3703
0,0.019742,1.7491,0.020667,0.036865,0,2.2583,0,1.962,0.046989,3.5034,0.039862,2.7828,2.8319,2.5578,1.3052,1.4801,1.7957
0.5785,0.71192,0.21727,0.080535,0.062143,0,1.922,0,3.2499,0.046989,1.2395,1.1996,4.0598,2.7668,3.2997,1.0462,1.8668,1.652
0.082643,0.80805,0.21727,0.64486,0.40968,1.0643,2.0421,1.1699,2.0611,0.94441,1.0503,1.9579,3.5878,0.02472,2.2844,1.1714,1.1067,0.62592
1.1019,2.5193,0.274,2.878,1.0281,1.4634,0.40842,0.83566,1.5995,0.77347,3.0258,3.9206,2.8602,0.016234,2.3722,2.0805,1.4134,1.2724
2.2038,1.9617,0.16053,2.4079,1.6207,1.5965,0,1.8384,2.1273,1.1367,3.8072,1.2442,3.0926,0.015041,1.2805,1.3714,0.60003,1.18
2.4242,1.2887,0.1038,2.1728,2.1619,1.7295,0,1.3371,4.2242,1.6709,0,1.1104,2.8221,0.018357,2.4959,1.1023,0.40002,0.90297
1.8732,0.73114,0.1038,2.4666,2.6257,2.2617,0,1.5042,0.95056,1.9914,2.2303,0.93197,2.2567,0.029955,2.0312,3.259,0.33335,0.64644
1.708,0.65423,0.1038,2.3785,2.7545,2.8603,0,2.3398,1.7875,2.3974,2.8099,0.88737,2.9562,0.032398,6.3768,3.3576,0.18668,0.40018
