"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.032726,2.747,-0.34794,-0.029929,2.1174,1.5569,0.33141
-0.017306,1.5361,-0.19717,0.23571,-1.1673,0.062323,-1.0072
-0.041304,-0.18341,0.70748,1.3278,-2.5324,-1.1001,-1.5808
-0.010574,-0.28029,1.009,1.8296,-0.4421,-0.65729,-0.5291
0.049393,0.1072,0.70748,1.2097,0.027146,-0.43587,-0.11478
0.032931,0.1072,0.85825,-0.17751,0.2831,-0.26981,0.076446
-0.086221,-0.64356,1.3106,-0.29557,0.069805,-0.10374,0.29954
-0.072779,-1.031,-0.046392,0.11765,0.45373,0.0069678,0.26767
-0.050047,-0.59512,-0.95104,-0.82686,0.24044,0.0069678,0.20393
0.059293,-0.49825,-0.34794,-0.82686,-0.27146,0.0069678,0.77761
0.050115,-0.42559,-0.95104,-1.063,0.15512,0.22839,0.36329
-0.064528,0.058767,-1.2526,-1.8009,0.88032,0.44981,1.5744
0.71294,-0.42256,-1.5541,-2.0665,0.58171,1.1694,0.29954
4.2096,-0.67643,-0.95104,-1.122,1.8615,1.8337,-0.17852
1.2781,0.05428,-0.046392,-0.029929,-0.27146,2.3319,0.58638
-1.9477,-0.0018738,-0.046392,-0.029929,-3.1296,1.6123,-1.8996
-0.16404,-0.038674,-0.046392,-0.029929,-1.082,-0.10374,-1.2621
-0.39175,0.013973,-0.046392,-0.029929,-0.27146,-1.0448,-0.082909
0.17752,-0.021964,-0.046392,-0.029929,0.069805,-1.5983,0.14019
-1.5682,-0.042029,-0.046392,-0.029929,0.027146,-0.87871,-0.051038
-2.0236,0.003375,-0.046392,-0.029929,-0.14349,0.062323,-0.14665
-0.35379,-0.047778,-0.046392,-0.029929,-0.058171,-0.1591,-0.11478
-0.050187,-0.015706,-0.046392,-0.029929,-0.015512,-0.768,0.044575
-0.012235,-0.034611,-0.046392,-0.029929,-0.015512,-0.49123,0.10832
0.74678,-0.074392,-0.046392,-0.029929,1.3496,0.062323,0.71387
1.1642,0.40092,2.5168,2.0362,1.9041,-1.4607,2.4986
4.2762,1.9545,1.1598,1.741,1.5629,-1.4081,1.5106
1.7335,1.9962,-2.0065,0.088135,-0.61273,0.039459,-1.6127
-3.276,-0.013887,-0.19717,1.1212,-2.2764,-0.080067,-1.8677
-1.4544,-0.69199,2.0644,1.0917,-0.4421,-0.028544,-0.62472
