"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.0957,0.26767,0.64435,0.5174,2.3029,2.0161,3.0751,1.6873,2.141,1.7471,2.3812,2.8884,0.68659,0.53341,0.60411,2.5663,1.3504
0,0.081826,0,2.0569,1.1121,1.8288,0.41293,2.2658,3.1471,1.8578,3.0639,4.1769,2.2036,0.78671,0.7072,0.30265,3.1677,2.7009
0,0.056738,0.28059,2.3047,1.7465,2.2352,0.04858,2.104,1.6414,2.1612,3.3823,1.9194,1.9732,0.93689,0.99684,0.30265,1.0425,2.9324
0,0.095203,0.40377,1.8586,2.024,2.6416,0.02429,2.104,3.2106,2.4647,1.9272,1.3037,3.171,0.68659,1.1706,0.30265,0.20049,2.1221
0,0.048819,0.74248,2.0321,2.3412,2.6416,0.02429,2.2658,1.5703,2.5253,3.9303,0.63669,2.7119,0.4363,0.99684,0.60411,0.16039,1.3118
0,0.051412,0.59005,1.9825,2.3412,2.1675,0,1.7803,2.7847,2.849,2.9878,0.7393,2.4876,0.23606,0.59134,0.15193,0.44108,0.84884
0,0.093598,0.20761,1.933,2.0637,2.0997,0.072871,0.80923,2.059,2.8894,3.7686,0.84192,3.0271,0.23606,0.64927,0.15193,0.40098,0.88743
0,0.053194,0.064266,1.0904,1.4491,2.5061,1.0202,0.32369,3.2227,2.6669,1.3471,1.2011,1.7693,0.28612,0.53341,0.15193,0.32078,0.61734
0,0.0024346,0.19101,0.74347,0.95352,2.0997,1.6517,0.97107,1.825,2.4849,1.7917,0.89323,1.5129,0.48636,0.47548,0.15193,0.64157,0.57876
0,0,0.076012,0.52044,0.77511,1.8965,1.9918,1.6185,1.8314,1.9387,3.0661,0.63669,3.1879,0.63653,0.35963,0.15193,0.76186,0.84884
0,0.037176,0.51875,0.37175,0.61652,2.032,2.1618,1.6185,1.565,1.7567,2.8287,1.0985,2.8099,0.68659,0.41756,0.15193,1.6039,1.1961
0,0.15796,0.20351,0.27262,0.41828,1.4224,2.2347,0.97107,2.3965,1.4735,3.4307,0.58538,0.75901,0.93689,0.59134,0.15193,2.0049,1.4276
0,0.1775,0.2476,0.69391,0.25969,1.2192,1.9918,0.16185,2.0445,0.94757,2.54,2.2272,1.7757,1.6377,0.53341,0.15193,3.9296,2.9324
0.51152,0.70996,0.27969,0,0.010061,0,1.7975,0,2.0092,0.037314,3.387,1.1498,1.1961,1.7879,1.5761,2.7143,1.5237,1.389
1.2504,2.8029,0.45953,0.06656,0.039789,0,0.41293,0,2.3443,0.037314,1.2009,3.7152,2.0858,2.689,1.9816,2.4128,3.0875,2.6237
2.2734,2.9849,0.63937,0.06115,0.028049,0,0.097161,0,3.0286,0.037314,2.9612,1.5089,2.5743,4.2408,3.0823,2.865,1.7643,2.5465
3.0691,2.5299,0.45953,0.053381,0,0,0.02429,0,2.1594,0.037314,2.9501,0.32884,3.7114,3.8403,3.6616,1.8099,0.48118,1.7749
2.7849,1.5289,0.27969,0.061596,0.00013269,0,0,0,3.5902,0.037314,3.4145,0.12361,2.3029,3.6901,4.4726,2.2621,0.12029,1.4662
