"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.064086,2.5823,-1.6695,-1.9987,2.4595,0.40116,0.7661
-0.048415,1.3896,-0.0096567,1.2208,-0.01824,0.33594,-1.7788
-0.099984,-0.1068,-0.02754,1.6946,-2.8576,-1.2543,-1.4964
-0.081395,-0.15167,-0.11665,2.7297,-0.35828,-1.1193,0.22174
-0.085077,-0.079668,1.6407,1.1566,-0.078826,-0.34898,-0.0088944
-0.09126,0.010803,0.20233,0.53526,-0.076158,-0.31195,-0.26283
-0.087495,-1.7425,2.6553,0.77097,0.016454,0.14764,0.1821
-0.061209,-0.77365,-0.43547,-1.3915,-0.046029,-0.20916,-0.21153
-0.073994,-0.70281,-1.5023,0.10578,-0.14112,0.11213,0.6836
-0.17462,-0.86937,0.50344,-0.39342,0.66073,0.2545,0.65705
-0.090817,-0.54429,-1.0665,-0.39529,-0.76018,-0.073705,-0.28528
-0.010923,0.11795,-0.5177,-1.5948,0.92179,0.15049,1.136
-0.085359,0.54132,-0.44322,-1.9818,1.213,0.68953,0.15842
2.1296,-0.10112,-0.04333,-0.041645,2.3279,0.17478,0.1295
0.92987,-0.11255,-0.04333,-0.041645,-0.70869,-1.3935,0.6251
-0.27055,-0.103,-0.04333,-0.041645,-2.3006,-0.78556,-0.29212
0.62012,-0.1046,-0.04333,-0.041645,0.11128,0.15047,0.51609
0.26119,-0.069382,-0.04333,-0.041645,-0.51919,-0.16416,1.2761
0.37697,-0.079349,-0.04333,-0.041645,0.087737,1.8774,0.95706
-2.6633,-0.11792,-0.04333,-0.041645,-0.092331,3.1501,-0.598
-1.726,-0.084107,-0.04333,-0.041645,-0.11381,3.7042,-1.5478
0.18333,-0.097711,-0.04333,-0.041645,-0.087779,-0.26493,-1.0864
-0.30141,-0.11473,-0.04333,-0.041645,0.072331,-1.4017,-0.47575
0.046379,-0.11523,-0.04333,-0.041645,-0.44216,-1.8903,-0.0022636
-0.13245,-0.094803,-0.04333,-0.041645,1.1557,-3.1351,0.034785
0.52521,-0.075088,-0.04333,-0.041645,0.82783,0.80945,0.80804
4.722,1.832,-1.0846,-2.0069,2.7601,0.033603,4.1791
1.2966,1.4348,0.36324,0.39985,0.71818,0.024169,-3.5473
-3.3905,-0.28452,-0.4671,1.4135,-2.8686,0.018086,-4.0038
0.35646,0.20941,1.928,1.0159,-0.22625,0.040444,0.47714
-1.4405,-1.827,0.64409,1.814,-0.19408,0.038171,-0.32043
0.83088,0.083048,0.45894,0.085417,-0.025206,0.010006,0.73211
-1.1798,0.015337,0.75356,-0.53753,-0.032551,0.011662,-0.9398
-2.0898,-1.5349,-1.7551,1.0039,-0.41245,0.030498,-0.49957
-0.070452,-0.24578,1.3107,-0.91876,0.13781,0.026165,0.16718
-0.20105,-0.31049,-0.0043972,-1.6473,-0.21229,0.034237,0.63331
-0.20985,-0.26112,-1.5957,-0.67972,-0.50604,0.020579,0.45275
0.51392,-0.12784,-0.14517,-1.0772,0.53952,0.030062,2.1103
1.1862,0.56121,0.21577,0.037327,0.59799,0.032172,0.7071
2.0437,0.93277,1.01,-0.047824,-0.050968,1.4445,0.96528
0.59675,0.32924,-0.67322,-0.030133,-0.064543,1.5127,-1.3933
-1.6865,-0.6151,-1.4174,-0.035738,-0.13017,-0.79055,-1.952
0.15633,-0.16408,-0.30536,-0.038873,-0.0077148,-1.3208,0.30072
-0.013047,1.2788,-0.09034,-0.049583,-0.024697,-0.56251,0.056587
0.15799,1.41,0.28568,-0.049509,-0.10721,-0.0070588,-0.09231
-0.91414,-0.90591,0.62256,-0.041288,-0.042654,-0.78861,-0.21991
-0.95501,-0.89577,1.9097,-0.039151,0.011565,-0.74756,0.30944
-0.15215,-0.7277,-0.67755,-0.024865,0.015905,0.35476,0.52813
-0.01671,-0.6025,0.75912,-0.038645,-0.17836,0.053932,0.94924
-0.24394,-0.54903,1.0402,-0.066165,-0.13856,0.52574,-0.51857
0.384,-0.1501,-2.7589,-0.04398,0.024384,1.1453,0.53253
0.64633,0.12413,-0.87485,-0.02605,-0.043894,0.77344,1.147
-0.083953,-0.66037,-0.87979,-0.68252,-0.01604,0.056453,-0.46051
-0.083953,0.014229,0.022926,-0.7072,-0.1141,1.0621,-0.13038
-0.083953,0.19615,-0.17262,-0.60155,-0.072204,0.44442,0.0063655
-0.083953,1.3168,-0.50332,-0.39732,-0.076641,-0.32337,-0.51483
-0.083953,0.81346,0.083603,-0.1011,0.012225,-1.3653,-0.17347
-0.083953,0.29273,0.7735,0.30395,0.086834,-0.82478,-0.13921
-0.083953,1.1303,0.22153,0.78748,-0.19798,-0.50781,-0.056615
-0.083953,0.19135,-0.046433,1.213,0.082625,-0.80977,-0.066264
-0.083953,-0.93983,1.8535,1.3814,-0.056744,0.16911,-0.065679
-0.083953,-1.4497,-1.4095,1.1663,0.50494,-0.219,0.46495
-0.083953,-1.0164,0.16697,0.62334,0.13119,0.02599,0.047064
-0.083953,-0.49787,2.1967,-0.02811,-0.60429,-0.09236,0.61794
-0.083953,-0.31777,-1.3884,-0.54107,-0.1374,0.59803,0.83372
2.5349,1.9787,0.43791,-0.64204,2.6881,1.4399,1.3763
1.0857,1.1694,-0.99268,0.19766,-0.18369,0.02632,-1.542
-2.1336,-0.43636,0.16159,1.3509,-3.1773,-0.36895,-1.764
-0.30401,-0.32521,0.97404,1.8795,0.049243,-1.2779,0.10446
0.21693,0.24306,-1.1263,0.81272,0.060797,-0.9604,0.24209
0.58778,0.4481,0.86875,0.68066,0.020706,0.7014,0.89433
-1.4281,-1.3866,2.0174,1.163,0.22625,-0.54752,-0.7323
-1.0539,-0.7615,0.079638,-0.90476,-0.31095,0.016309,-0.36519
0.048074,-0.79806,0.53348,-1.0065,-0.46778,0.34243,0.63108
-0.13698,-0.5572,0.31017,-0.98468,0.12781,1.1559,0.65767
-0.18692,-0.32265,-1.7489,-1.6988,-0.57919,1.2476,-0.17901
0.34531,-0.045695,-1.0891,-1.1202,1.07,0.56452,0.67093
