"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.08501,1.1358,0.064402,-0.32159,2.5102,1.0121,1.8838
-0.095396,0.95014,-0.67377,-0.49235,-0.87297,0.76526,-0.8146
-0.088252,-0.36109,0.0886,0.7854,-2.6639,-0.69808,-1.7111
-0.089315,0.26617,0.2063,1.6522,0.49621,-1.548,-0.22805
-0.066246,0.49094,-0.14283,1.975,0.17804,-0.69699,-0.63228
-0.074824,0.1575,1.2859,0.23914,-0.21069,-1.1179,0.30215
-0.092552,-0.57508,-0.097048,0.53119,-0.050862,-0.73317,-0.41301
-0.085779,-1.3937,0.00047876,-0.25223,-0.24792,0.48747,0.092844
-0.1229,-0.77704,0.040269,-1.7535,-0.66202,0.12994,0.061409
-0.074032,-0.42544,-0.25138,-0.3576,-0.13009,-0.056598,0.39467
-0.049642,-0.48545,0.066582,-1.3758,-0.42128,0.17043,-0.00797
-0.075526,0.19622,-1.0439,-0.85046,0.82545,1.1204,0.91341
-0.091235,0.84825,-0.11212,0.098084,0.71812,1.0437,0.67185
3.0841,-0.12431,-0.011025,-0.01592,2.8723,-1.2077,3.0911
2.3786,-0.17107,-0.011025,-0.01592,-0.55451,-1.8961,1.7473
-0.43788,-0.12481,-0.011025,-0.01592,-2.8835,0.77737,-0.61572
0.70321,-0.041986,-0.011025,-0.01592,0.050156,0.47973,1.1387
-0.93175,-0.10835,-0.011025,-0.01592,-0.48214,0.43154,-0.23681
0.42246,-0.15504,-0.011025,-0.01592,0.011993,0.24516,0.70304
-2.7749,-0.11141,-0.011025,-0.01592,-0.057658,0.26738,-3.5703
-2.8367,0.0052251,-0.011025,-0.01592,-0.041251,0.37851,-2.7124
0.365,-0.12038,-0.011025,-0.01592,-0.14873,0.20515,0.72855
-0.42298,-0.17795,-0.011025,-0.01592,0.068286,0.78063,-0.6878
0.040087,-0.10921,-0.011025,-0.01592,-0.43214,0.014563,-0.20396
0.045462,-0.19822,-0.011025,-0.01592,1.1736,-0.79247,0.25458
1.1841,-0.10666,-0.011025,-0.01592,0.7804,-1.2432,1.4608
