"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.027757,1.9289,-0.020712,-0.36077,2.7716,0.82507,1.7545
0.012926,1.1739,-0.65539,-0.22536,-0.77194,0.48103,-0.60448
-0.041676,0.16719,-0.020712,0.75634,-2.49,-0.40942,-1.784
-0.027238,0.38291,0.19085,1.7719,-0.12766,-0.89513,-0.78983
-0.015217,0.70649,0.19085,1.738,0.33766,-0.69275,-0.43598
-0.0080878,0.27505,1.2487,0.72249,-0.091862,-0.69275,0.052671
-0.019209,-0.69568,0.19085,0.35012,-0.091862,-0.38918,-0.16638
-0.044496,-1.4147,-0.020712,-0.46233,-0.34242,0.19771,0.052671
0.0050995,-1.0193,-0.020712,-1.3086,-0.62877,0.19771,0.28857
-0.0094008,-0.55187,-0.23227,-0.97011,-0.34242,0.056043,0.44022
0.016375,-0.33615,-0.23227,-1.1732,-0.12766,0.29889,0.44022
0.024538,0.41886,-1.0785,-0.9024,0.91036,0.7846,1.1142
0.50607,-0.035379,-1.0785,-1.2071,1.0177,4.0429,1.8051
3.174,-0.5157,-0.44383,-0.97011,2.0558,2.8286,3.1699
3.0574,-0.034378,-0.020712,-0.022252,-0.4498,-0.91536,2.378
0.64921,-0.11118,-0.020712,-0.022252,-2.7764,0.19771,0.37282
0.22821,-0.027514,-0.020712,-0.022252,-0.73615,0.50127,0.74352
-0.26016,-0.0055823,-0.020712,-0.022252,-0.34242,0.35961,0.55817
-0.63064,-0.050261,-0.020712,-0.022252,-0.056068,0.27866,-0.45283
-3.0725,0.04247,-0.020712,-0.022252,0.015519,0.27866,-3.6712
-3.1567,0.084443,-0.020712,-0.022252,-0.020275,0.29889,-3.1825
-0.51276,-0.038195,-0.020712,-0.022252,-0.056068,0.33937,-0.23378
-0.058074,-0.048907,-0.020712,-0.022252,-0.020275,0.46079,-0.30118
-0.024394,-0.04751,-0.020712,-0.022252,-0.020275,0.07628,-0.30118
0.54817,-0.05754,-0.020712,-0.022252,1.2683,-0.53085,0.70982
0.58185,0.62366,0.19085,0.28242,1.2325,-5.3868,0.28857
2.1817,3.2688,0.19085,0.28242,1.5189,-4.9158,0.28857
0.48081,2.576,0.19085,0.95945,0.83877,0.036661,-1.0089
-2.1126,0.45482,-0.020712,2.212,-2.0247,-0.010847,-2.7276
-0.71484,-0.51591,1.4602,1.738,-1.3804,-0.0029256,-1.0594
-0.1928,-1.4147,2.518,0.79019,-0.27083,0.062388,-0.14953
0.059807,-1.0912,0.19085,0.55323,0.15869,0.019854,0.10322
-0.42856,-1.0552,-1.2901,0.68864,0.19449,0.0038371,-0.031579
-0.42856,-0.9833,-0.020712,-0.12381,0.051313,0.0069573,-0.20008
-0.041234,-0.87544,-0.23227,-1.0378,-0.19924,-0.011772,0.32227
-0.024394,-0.40805,0.19085,-1.1394,-0.62877,0.036591,0.69297
-0.0075536,-0.26424,0.61397,-1.681,-0.4498,0.039873,0.69297
0.53133,0.13124,-1.2901,-1.4102,0.83877,0.017213,1.249
0.58185,0.38291,-1.5016,-1.3956,-0.20479,2.0878,0.92887
1.407,2.0008,-0.86695,-0.98771,-1.3186,1.9971,-0.11583
0.88497,2.1806,0.19085,-0.012747,-0.0011605,-0.38918,-1.1942
-1.0348,0.13124,1.0371,-0.091303,0.040323,-0.81417,-1.4638
-0.47908,-0.51591,1.4602,0.035035,-0.040806,-0.81417,-0.41913
0.36293,-1.2709,1.2487,-0.021943,-0.051275,-0.59156,0.086371
0.51449,-1.4507,0.61397,-0.089231,-0.025415,-0.36895,0.37282
-0.96744,-0.73163,0.82553,0.046907,-0.083651,-0.14633,-0.098979
-1.4895,-0.51591,-1.0785,0.016182,-0.050174,0.035805,-0.35173
-0.32752,-0.40805,-2.1363,-0.10692,0.026462,0.035805,0.33912
-0.058074,-0.19234,0.19085,-0.080877,0.027156,0.33937,0.84462
-0.024394,-0.084477,-0.86695,-0.014301,0.020309,1.0072,0.77722
0.56501,0.059335,-1.5016,-0.021155,-0.040717,0.98697,0.89517
0.51449,0.45482,-0.23227,0.71484,1.0813,0.096518,1.03
2.0975,2.8996,-0.23227,0.55795,2.6435,0.72388,0.84462
0.96917,2.0008,0.82553,0.38397,-0.056068,0.48103,-1.4301
-1.6074,-0.40805,1.6718,1.6026,-1.6668,-1.0368,-2.3569
-0.88324,-0.69568,0.61397,2.3135,-0.414,-0.99631,-0.68873
-0.54644,-1.4147,-0.44383,1.5688,-0.19924,-0.85465,-0.46968
0.042967,-0.55187,1.0371,0.31627,0.015519,-0.51061,-0.21693
0.80077,-0.44401,0.82553,-0.63159,-0.34242,-0.22728,0.47392
1.1713,-0.40805,-1.0785,-1.5456,-0.091862,0.19771,0.76037
1.0197,-0.12043,-0.020712,-1.5456,-0.19924,0.72388,0.87832
0.64921,-0.40805,-0.86695,-1.1394,-0.056068,0.46079,0.30542
0.29557,0.41886,-1.9248,-0.767,-0.16345,0.35961,0.22117
-0.81588,1.1379,-0.86695,-0.32692,-0.16345,0.52151,0.15377
-2.2305,-0.83949,-0.020712,0.24856,0.6956,-0.14633,-0.67188
0.71657,0.023382,0.19085,-0.15766,3.4875,-0.1261,0.62557
1.5417,1.5334,-0.020712,-0.32692,0.44504,0.25842,0.25487
-0.73168,-0.19234,0.19085,0.68864,-3.2775,-0.16657,-0.90778
-0.51276,-0.26424,0.82553,1.2303,-0.70035,-0.53085,-0.53708
-0.84956,0.20315,2.9411,1.6703,-0.091862,-0.65227,-0.67188
-0.7822,-0.51591,1.4602,1.4672,-0.056068,-0.47014,-0.30118
-0.698,-1.0193,-1.9248,-0.089956,0.19449,-0.14633,-0.25063
-0.73168,-0.80354,-2.1363,-1.2748,-0.23504,0.096518,-0.031579
-0.17595,-0.58782,-1.0785,-1.2071,-0.62877,0.23818,0.62557
-0.0075536,-0.30019,0.19085,-1.1394,-0.34242,0.52151,0.72667
