"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.051158,0.093229,0.85119,0.43677,1.1027,2.0375,1.0427,0.92226,0.98715,3.723,1.9443,1.3848,0.87137,0.42012,2.9134,1.3863,0.899
0,0.037008,0.065013,2.7236,1.9443,0.95565,0.29107,0.86893,1.1067,0.78403,3.182,3.7852,2.4593,1.1301,2.5596,3.5847,1.503,1.4904
0,0.037647,0.11673,1.8471,2.0546,1.8378,0.048512,0.34757,1.6601,1.5965,4.097,1.9443,2.5583,0.79528,3.1709,4.3529,0.62748,1.2539
0,0,0.032777,2.126,2.5326,2.2789,0.048512,0.52136,1.4756,1.9773,3.2045,1.1158,2.8963,0.65831,3.4421,3.4662,0.42319,0.83986
0,0.037417,0.12028,1.8471,2.0913,2.6464,0,2.2592,1.4756,2.1551,4.0622,1.0238,2.8779,0.59743,1.7992,2.3256,0.33563,0.54413
0,0.035083,0,1.5284,1.8707,2.867,0,2.6068,2.2134,2.3582,4.749,0.93175,0.92725,0.47568,1.2315,3.9638,0.5983,0.42584
0,0.012014,0.11134,1.0902,1.6134,2.867,0.12128,2.6068,3.1357,2.3582,1.6299,0.70163,2.1623,0.47568,3.0696,3.482,0.46696,0.43767
0,0.030417,0.057101,0.57232,1.2457,2.6464,1.1885,3.4757,3.3201,2.2566,1.6816,0.97777,2.1246,0.39959,2.2059,2.6307,0.35022,0.42584
0,0.031628,0.080805,0.49265,0.87799,1.6173,1.7464,2.0854,3.1357,1.6473,4.0918,0.33344,0,0.41481,2.3125,3.496,0.53993,0.3667
0,0.033288,0.046284,0.37313,0.47354,0.88214,2.0618,1.7379,2.3979,1.1395,2.6715,0.28741,1.0388,0.71918,3.5328,3.0472,0.93393,0.56779
0,0.036203,0.05772,0.33329,0.47354,0.73512,2.2801,0.52136,0.92226,0.75864,3.309,0.14934,3.148,1.1301,4.1551,4.9039,0.91934,0.86351
0,0.043809,0.081225,0.29346,0.40001,0.66161,2.3771,0.17379,0.73781,0.45397,4.4119,0.057295,1.2555,1.3584,1.3409,2.5291,1.255,1.1119
0,0.025278,0.11047,0.93087,0.54708,0.36756,2.183,0.34757,0.3689,0.3778,2.1777,1.7142,2.6132,1.8149,1.7428,4.2668,1.6636,1.6561
0.4963,0.75548,0.48864,0.14153,0.1427,0,2.1103,0,0,0.047739,2.6889,1.392,0.47488,3.2455,2.3367,3.0303,2.043,2.1174
1.7145,3.8519,1.3901,0.07303,0.062163,0,0.41235,0,0,0.047739,3.2232,4.9819,1.2324,3.5651,0,3.5682,4.5091,3.0519
2.7296,3.92,1.284,0.12137,0.062281,0,0.024256,0,0,0.047739,1.4146,1.392,1.9946,3.5651,1.3055,3.3456,4.2902,4.2348
3.4741,3.6648,1.9733,0.13006,0.026446,0,0.024256,0,0,0.047739,2.4111,0.51753,2.9168,3.9912,2.1706,3.1571,4.801,4.8617
3.8576,3.7498,3.0868,0.15949,0.020827,0,0,0,0,0.047739,2.4119,0.14934,2.5792,4.113,2.6674,3.4935,5.1074,5.2166
4.2411,3.7328,3.0338,0.042612,0.062283,0,0,0,0,0.047739,2.9202,0.057295,3.2376,3.8086,2.5986,2.4608,4.9323,4.98
