"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.005127,2.795,0.398,-0.79,2.9985,-0.32771,-1.9557
0.034114,1.6256,0.19689,0.5578,-0.50133,-1.0886,-1.7764
0.028777,-0.18808,1.0013,1.9975,-2.6464,-1.8048,-0.96941
-0.0463,-0.9756,2.6102,1.6912,-0.68949,-1.4019,-0.1624
-0.027564,-0.68923,0.59911,0.89475,-0.049738,-0.64102,0.046819
-0.02589,-0.37899,-1.6131,0.49654,0.063159,-0.14867,0.01693
-0.0088257,-0.40286,-1.412,-0.33052,0.063159,-0.10392,0.01693
-0.020056,-0.044892,-1.412,-1.3107,-0.08737,0.030361,0.25604
-0.030066,-0.021027,-0.40644,-1.4333,-0.049738,0.56747,0.76416
0.016945,-0.25967,-0.60755,-1.3414,0.025527,0.56747,0.46527
0.021273,-0.14035,-0.80866,-1.2188,-0.049738,0.07512,-0.1624
-0.068929,0.16989,-0.0042191,-0.72874,1.2674,-0.014398,0.046819
0.58039,-0.32854,-0.20533,-0.51432,0.85344,0.43319,-0.072737
2.4756,-0.51881,-0.20533,-0.36116,1.6437,0.25416,0.70438
1.4824,-0.015397,-0.0042191,0.0064263,-0.42606,0.43319,0.40549
0.049199,-0.033432,-0.0042191,0.0064263,-2.7969,1.0598,-0.43141
0.049199,-0.021308,-0.0042191,0.0064263,-0.46369,0.29891,-0.1624
-0.019046,-0.025213,-0.0042191,0.0064263,-0.2379,-0.10392,-0.34174
0.11744,-0.023005,-0.0042191,0.0064263,-0.012106,0.29891,0.40549
-2.1005,0.019595,-0.0042191,0.0064263,-0.012106,0.7465,0.19626
-2.3394,-0.029286,-0.0042191,0.0064263,-0.049738,0.43319,-0.79007
-0.42852,-0.074182,-0.0042191,0.0064263,-0.012106,-0.37247,-0.52107
-0.053169,-0.021328,-0.0042191,0.0064263,-0.012106,-1.0439,-0.1624
-0.053169,0.015087,-0.0042191,0.0064263,-0.012106,-0.7753,-0.042848
0.90227,-0.025009,-0.0042191,0.0064263,1.3427,0.11988,0.67449
1.1411,0.30271,0.19689,1.1092,1.0792,-1.5406,2.9759
4.3145,1.5127,-0.0042191,0.98665,0.74054,-1.7669,3.5737
2.5743,1.1006,0.398,0.5578,-0.049738,-0.031897,-1.5074
-2.7489,-0.21194,1.2024,0.92538,-1.2916,-0.059938,-3.0318
-0.83799,-0.18808,1.4035,0.98665,-0.27553,-0.059073,-0.43141
0.015077,0.026701,1.4035,1.0173,0.17606,0.092558,-0.49118
-0.66738,-0.11648,1.0013,0.89475,-0.049738,0.1035,-0.46129
-2.1688,-0.61764,-0.80866,0.68033,-0.16263,0.081536,-0.1624
-2.2711,-0.6415,-1.0098,-0.69811,-0.20027,0.13613,0.16638
-0.3944,-0.45059,-0.20533,-0.69811,-0.80238,-0.064483,0.40549
-0.053169,-0.37899,-0.60755,-0.72874,-0.42606,-0.15932,0.9136
-0.053169,-0.28354,-1.0098,-1.7396,0.063159,0.096432,0.61471
0.83402,0.098295,-1.0098,-1.4333,1.1169,0.068796,1.0332
0.52692,0.45626,0.59911,-1.1577,-0.17619,2.8628,-1.089
0.90227,1.554,0.398,-0.70948,-1.2318,1.8596,-2.2845
0.28806,1.6256,-0.0042191,0.022588,-0.041625,-1.8943,-0.28196
-1.2133,-0.45059,0.19689,0.093445,-0.084019,-1.2676,-0.43141
-0.18966,-0.9756,1.2024,0.017296,0.00083502,-0.46199,-0.072737
0.3563,-0.40286,1.2024,-0.049898,-0.025043,-0.23819,0.19626
0.18569,-0.18808,-0.0042191,0.039408,-0.044133,-0.23819,0.22615
-0.83799,-0.28354,0.59911,0.070942,0.056817,0.25416,0.01693
-0.90624,-0.61764,-0.80866,-0.028682,0.052931,0.25416,0.28593
-0.15554,-0.40286,-1.0098,-0.01363,-0.060751,-0.059157,0.94349
-0.019046,-0.16421,-0.0042191,0.014514,-0.011355,0.29891,0.94349
-0.019046,-0.18808,-1.0098,0.0093723,-0.034077,0.88078,0.3756
0.52692,0.12216,-1.6131,0.027813,-0.029649,0.88078,0.46527
-0.019046,-0.25967,-0.40644,0.88929,0.12754,0.61223,0.076708
-0.56501,-0.49832,-0.0042191,0.59542,0.077081,1.0598,-1.2085
-0.019046,0.026701,-0.40644,-0.45305,-0.125,1.5969,-1.1487
-0.019046,0.98128,-0.0042191,-0.29989,-0.08737,0.38843,-0.61074
-0.019046,1.9836,-0.0042191,-0.085469,-0.012106,-1.4914,-0.37163
-0.019046,2.3415,0.398,0.40464,-0.012106,-1.581,-0.10263
-0.019046,2.4131,0.80022,1.5687,0.063159,-1.2229,0.01693
-0.019046,1.9597,0.59911,2.702,0.17606,-0.99909,0.046819
-0.019046,1.387,1.8058,2.12,0.43948,-0.37247,0.1066
-0.019046,-0.88015,2.0069,1.0785,0.43948,-0.014398,0.01693
-0.019046,-2.6938,-0.0042191,0.0064263,-0.012106,-0.10392,0.01693
-0.019046,-2.0018,-0.0042191,0.098322,0.10079,-0.10392,0.01693
-0.019046,-1.5483,0.80022,0.49654,0.47711,-0.014398,-0.072737
0.42455,-2.1211,-2.8198,-3.5775,0.74054,2.6711,2.4081
2.1989,-0.044892,-3.222,-3.6694,1.6813,4.4615,1.6907
0.39043,2.2461,0.19689,0.52717,-0.57659,0.34367,-1.9259
-1.8617,1.0529,0.59911,1.2623,-2.6464,-2.7447,-1.5074
-0.66738,-0.54604,1.2024,1.8443,-0.87765,-2.1181,-0.34174
-0.2579,-0.80855,1.4035,1.9669,-0.049738,-1.2676,-0.072737
-0.053169,-0.59377,0.59911,1.2317,0.40185,-0.73054,-0.012959
-0.12141,-0.88015,1.6047,0.40464,0.47711,-0.23819,0.1066
-0.18966,-0.78469,1.6047,-0.26926,-0.08737,0.030361,0.22615
-0.053169,-0.47445,0.80022,-0.26926,0.063159,0.07512,0.13649
-0.019046,-0.37899,-0.80866,-0.72874,0.063159,0.11988,0.49516
