"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.026444,0.040268,0.98984,0.43422,0.6288,1.9779,0.96288,1.4915,0.64353,1.6754,1.7883,2.2518,1.6617,1.5039,1.2483,2.1682,1.4491
0,0.058119,0.13133,2.8143,1.15,0.55893,0.45278,0.19258,1.0654,0.5222,1.6705,4.0073,3.5755,1.8452,1.6217,1.6147,1.8429,2.0894
0,0,0.23431,2.9602,2.4309,1.5371,0.047661,0.57773,0.63921,1.1531,1.7253,1.7401,1.8619,1.6617,2.3875,2.3475,0.36136,1.685
0,0.060217,0.13132,3.1427,2.883,1.8864,0,0.19258,0.85228,1.9297,3.3725,0.38942,3.7975,0.9276,2.3286,1.7979,0.036136,0.7414
0,0.024326,0.2594,2.8872,3.4105,2.096,0,0.96288,0.85228,2.8033,2.6015,0.29294,3.2644,0.65233,2.1519,1.6147,0.18068,0.4718
0,0.031233,0.090233,3.2156,3.7872,3.0042,0,1.5406,1.2784,2.9489,2.9485,0.29294,2.0988,0.42293,1.7396,1.2483,0.072272,0.2359
0,0.02448,0.18384,2.5224,3.4481,3.7728,0.095322,2.3109,2.5568,3.3614,2.0711,0.29294,3.6463,0.42293,1.6217,1.6147,0.036136,0.1348
0,0.056464,0.17309,1.7561,2.7323,3.7029,1.0962,3.6589,2.7699,3.1673,2.4776,0.38942,4.4142,0.37706,1.1505,1.9811,0.10841,0.0674
0,0.094842,0,1.3547,2.0165,3.144,1.5252,2.3109,2.5568,2.9246,3.3855,0.29294,2.9689,0.33118,0.91491,2.1643,0.14454,0.1348
0,0.064091,0.087861,0.91687,1.4137,3.0042,1.9541,2.5035,2.3438,2.9489,1.3797,0.58237,2.2158,0.42293,0.5615,1.2483,0.9034,0
0,0.034696,0.2406,0.44252,1.3007,2.4453,2.2162,2.1183,1.9176,2.779,1.8791,0.8718,1.9929,0.46881,0.5615,1.2483,0.86727,0.6403
0,0.0083403,0.026246,0.40603,1.1877,1.7467,2.2877,1.7332,1.0654,2.5121,3.5589,0.34118,1.867,0.42293,0.5615,1.0651,1.2286,0.8425
0,0.036548,0.12474,0.66145,1.1877,1.4672,2.0256,1.348,0.85228,1.7355,4.1951,2.319,3.534,0.65233,0.44369,1.0651,1.8791,1.348
0.32808,0.4068,0.24011,0.090021,0.083778,0,1.9303,0,0,0.036858,3.8657,1.7401,3.1231,2.304,4.2724,4.5458,0.25295,0.3707
1.1483,2.0688,0.14007,0.049046,0.10311,0,0.28597,0,0,0.036858,3.3728,3.5731,2.8746,2.0287,3.5066,3.4466,0.65045,0.5055
1.5174,2.0688,0.24011,0.10515,0.044681,0,0.071492,0,0,0.036858,2.9845,0.96828,2.6528,1.3405,2.8587,2.3475,0.795,0.6403
2.1325,2.408,0.34015,0.038756,0.11206,0,0,0,0,0.036858,4.0552,0.53413,3.2754,1.2946,2.3286,2.5307,0.75886,0.5055
2.8707,2.7472,0.24011,0.13191,0.074205,0,0,0,0,0.036858,4.3391,0.19646,3.672,1.2029,1.8574,2.3475,1.5539,1.1458
3.4859,3.222,0.84035,0,0.0014297,0,0,0,0,0.036858,1.8661,0.099986,2.8395,1.5699,1.7396,1.6147,2.4211,1.6176
3.773,2.4419,0.84035,0.067648,0.039726,0,0.047661,0,0,0.036858,2.6349,0.19646,3.1475,2.8086,1.3272,1.7979,2.6741,2.5275
1.6404,0.33896,4.5418,0.10512,0.05201,0,1.0724,0,0,0.036858,3.0023,0.099986,1.4523,4.552,1.5039,1.4315,1.7345,3.0667
0.45111,0.067615,5.042,0.078085,0.081514,0,1.7158,0,0,0.036858,2.7089,0.099986,1.9967,5.5155,2.9765,2.1643,0.795,2.359
0.20505,0.033697,3.6415,0.079428,0.084332,0,2.1209,0,0,0.036858,2.7868,0.099986,2.7497,4.8273,3.919,3.813,0.18068,1.4828
0.12303,0.033697,2.7411,0.059082,0.083743,0,2.2877,0,0,0.036858,2.7786,0.099986,2.9559,4.2309,4.2724,3.2634,0.10841,0.9436
0.04101,0.033697,2.0408,0.14935,0.002967,0,2.3354,0,0,0.036858,3.6212,0.099986,2.0447,2.7627,4.3313,3.9962,0.072272,0.5392
0.57415,0.23721,0.44019,0.06084,0,0,2.0971,0,0,0.036858,0,1.8366,1.9292,2.1663,3.5066,4.729,0.43363,0.337
0.20505,1.4583,0.84035,0.66145,0.35887,0.90826,2.0733,0.38515,1.7046,0.8134,3.0021,1.5471,0,0.1299,0.10213,0.17786,5.0591,3.1678
2.3376,5.8338,1.3405,2.1575,1.1124,0.83839,0.45278,0.19258,1.7046,0.47366,1.9175,4.2967,2.1907,0.10797,0.034427,0.25675,5.9625,5.6953
3.4859,3.3238,1.0404,2.3764,2.1672,0.90826,0.047661,0.38515,1.2784,0.93473,2.0931,2.5119,1.6503,0.16496,0,0.54908,1.9152,4.6843
4.2241,2.9846,0.54023,2.5224,2.5063,1.6069,0,0.38515,0.85228,1.3473,3.1067,1.0648,2.9123,0.12682,0.0044257,0.47553,1.3732,3.8081
4.101,2.3402,0.64027,2.048,2.6947,2.2357,0,2.1183,1.0654,1.9054,2.3953,1.113,4.2202,0.048307,0.13847,0.54706,1.1202,2.8645
3.978,2.0688,0.34015,1.2818,2.1296,2.3056,0,1.5406,1.4915,2.3422,1.117,0.92004,3.6534,0,0.061291,0.29314,1.59,2.022
3.5269,2.5437,0.34015,1.7561,2.1672,2.096,0.095322,2.8886,2.3438,2.1481,2.0875,1.113,2.6782,0.10817,0.056136,0.36002,1.4093,2.2579
1.0253,0.64423,5.2421,1.0628,1.7905,2.7946,1.0724,1.9258,2.5568,2.2937,5.3424,0.82356,1.4761,0.091364,0.051217,0,0.86727,2.1905
0.36909,0.16937,4.5418,0.58847,1.7151,2.2357,1.7396,1.9258,1.4915,2.415,3.0606,0.77532,2.5872,0.12723,0.058132,0.50559,0.72272,1.348
0.12303,0.033697,3.2413,0.47901,1.1124,1.8864,2.1209,2.6961,1.4915,1.8326,2.7984,0.8718,1.9242,0.14372,0.059188,0.31268,1.1202,1.2132
