"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.080738,0.73896,0.18345,0.92603,1.8047,0.4283,1.4392
-0.079857,-0.95135,-0.43276,1.7977,-0.9401,0.13302,0.37389
-0.085318,-0.75563,1.7532,2.7491,-1.892,-0.78637,0.12553
-0.083253,-0.56215,2.6213,-0.50869,-0.26979,0.73369,-0.11639
-0.08162,-0.45323,1.853,-1.9979,-0.2188,-0.84345,-0.40448
-0.084046,0.26502,-1.276,-0.70944,0.083786,-0.0025981,1.1815
-0.079612,-0.31407,-2.6113,-1.2663,-0.093204,1.2786,-1.96
-0.081372,-0.018313,-0.89295,0.10312,0.02622,0.17691,-1.8706
-0.082614,-0.17236,-0.65845,-0.31934,-0.25486,0.91045,0.23176
-0.081644,0.13637,0.1145,-0.33917,0.19548,-0.17159,-0.31058
-0.085475,-0.44505,-0.57175,0.044355,-0.44573,-1.558,-0.010356
-0.082068,0.95965,-0.044719,-0.098246,0.96095,-1.0586,0.48207
-0.080091,1.3654,0.215,0.23427,1.3783,0.38758,0.47445
2.7664,-0.070675,-0.08741,0.20783,1.7977,0.77291,2.6984
1.8737,-0.14707,-0.1195,1.452,-0.68529,1.9305,2.3436
-0.44499,-0.035696,1.1157,1.437,-1.9535,-1.2769,-0.2909
0.13262,-0.037551,0.47766,-1.4134,0.11379,-0.25644,-0.40302
-0.50693,-0.072891,-0.70203,-1.0556,-0.26329,0.59812,-0.29216
0.63391,-0.049069,-0.47704,-0.0064429,0.11578,-1.0002,1.2319
-2.4907,-0.05292,-0.3098,-0.34291,0.0061556,1.4071,-2.5398
-2.2425,-0.084771,0.1187,-0.13002,-0.13713,-1.4665,-2.3105
0.16989,-0.062539,-0.049088,-0.28204,-0.14509,-1.0018,0.17744
-0.31824,-0.042833,0.026337,0.11045,0.12435,-1.0553,-0.32305
-0.022113,-0.095259,-0.0011169,-0.061325,-0.49415,-1.342,0.026976
0.11078,-0.055386,-0.0099684,0.0012848,1.3951,1.4897,-0.045757
1.1,-0.036874,0.061458,0.071168,0.86901,0.58659,0.94944
2.1776,-0.35493,-0.021281,-0.51296,3.0809,0.0053707,2.634
1.7227,-1.0948,0.050578,3.8514,-0.18709,-0.032463,0.93373
-0.15128,-0.42222,1.4393,2.4846,-3.189,-0.050681,-0.96915
0.11227,-0.20368,2.2127,-1.3222,-0.03318,0.010232,0.93608
-0.46744,0.02195,3.1382,-0.83739,-0.37609,-0.12379,0.092849
0.2815,-0.18441,-0.36573,-1.6451,0.12726,-0.10854,-0.070281
-2.1436,-0.10185,-3.2077,-0.70264,-0.068242,-0.02446,-1.8746
-1.9286,-0.13434,-1.2717,-0.67468,-0.14201,-0.12692,-1.712
0.11104,-0.10961,-1.3839,-0.76816,-0.053656,0.0081106,-0.32245
-0.30455,0.11967,-0.49167,0.030151,0.070591,-0.022718,0.65055
0.0067216,-0.49908,0.057306,-0.37652,-0.41962,-0.00052196,-0.48189
-0.012602,1.1681,-0.07494,-0.065358,1.2271,0.014659,-0.098808
0.83856,1.0827,0.22452,0.13013,0.83917,-0.076668,1.4663
1.2883,6.5417,-0.21417,0.011903,-0.038945,2.7979,0.81373
0.73584,3.8539,0.49897,0.01089,-0.043067,-0.58681,-0.73788
-0.95624,-2.8639,0.27814,-0.090034,-0.047432,-1.7943,-1.273
-0.48628,1.1656,-0.12321,0.098835,-0.032011,-0.46036,-0.050004
-0.20922,-2.9202,-0.45711,0.055981,-0.042126,-1.0379,-0.19217
0.16236,0.67023,0.32097,-0.15272,-0.050226,-0.59542,0.095271
-0.57666,-0.41354,0.78346,-0.035276,-0.058742,-0.24399,-0.17803
-0.57694,-3.2191,0.40782,0.12811,-0.035335,-0.19713,-0.39388
-0.0010454,-1.3526,-0.46159,0.069113,-0.044714,0.1149,0.64034
-0.10233,-0.5071,-0.82908,-0.048868,-0.060839,0.42081,0.058974
-0.13294,-1.4036,-0.15837,-0.1157,-0.037533,0.94717,0.022247
0.14995,1.3819,-0.24836,-0.034561,-0.037082,2.0141,0.57371
0.51255,3.3249,0.25512,0.054839,-0.042946,0.46289,-0.14999
-0.49367,-0.45048,0.0034884,-0.0070662,-1.4184,-0.27819,-0.16309
-0.5309,-0.55846,0.0034884,-0.0070662,-0.8186,0.59699,-0.48135
-0.012322,-0.56686,0.0034884,-0.0070662,-0.06684,0.52996,-0.047174
-0.14367,-0.48472,0.0034884,-0.0070662,-0.10091,-0.96448,-0.053069
-0.048345,-0.34934,0.0034884,-0.0070662,-0.015647,-0.84192,0.053214
-0.10185,-0.2093,0.0034884,-0.0070662,-0.061635,-0.028069,-0.037272
-0.070562,-0.10425,0.0034884,-0.0070662,-0.03416,0.67884,-0.10284
-0.089344,-0.051192,0.0034884,-0.0070662,-0.051403,-1.7886,-0.076552
-0.077493,-0.042825,0.0034884,-0.0070662,-0.039891,-0.36821,-0.030125
