"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.037723,0.17973,0,1.6807,2.9388,-0.91345,2.4276
-0.0072226,-0.62623,0.21483,2.3554,-0.34208,-0.96385,0.22302
-0.0048508,-1.074,1.2174,2.2991,-2.7013,-1.0395,-1.3268
-0.016377,-0.53668,1.8618,0.50009,-1.0056,-0.13218,0.49024
0.0034862,-0.26803,1.9334,-0.96164,-0.19463,0.62389,1.6125
-0.025709,-0.088925,1.5038,-1.6363,-0.047175,0.59868,1.0648
-0.024632,0.00062623,-0.93092,-1.6363,-0.047175,0.17025,-1.7945
0.0054421,-0.088925,-2.2915,-0.8492,-0.084038,0.11984,-2.4625
0.0051236,-0.088925,-1.7186,-0.287,-0.010311,0.11984,-0.51182
-0.0058641,0.00062623,-1.2174,-0.23078,-0.010311,0.09464,-0.111
-0.013431,0.00062623,-0.50126,-0.11834,-0.010311,0.62389,0.14286
-0.011479,1.3439,-0.071609,-0.062118,1.0587,0.52308,0.82426
0.42805,-0.15431,0,-0.11834,1.2799,-0.13218,0.53032
2.3702,-1.208,0,0.21898,1.4642,-0.031371,1.5858
1.9299,0.037815,0.14322,1.3996,-0.19463,0.8255,2.5344
0.22649,-0.13897,1.0025,1.9618,-2.1853,0.59868,0.59712
0.49668,0.053463,1.0741,0.50009,-1.0794,0.09464,0.20966
-0.07894,-0.0096575,0.35804,-0.90542,-0.37895,0.069438,-0.16444
-0.63107,0.10243,-0.21483,-1.2427,-0.010311,-0.28339,-0.4183
-2.17,0.1254,-1.2174,-1.0179,0.063415,-1.2411,-2.035
-2.2052,0.072564,-0.7877,-0.5681,-0.047175,-0.91345,-2.7164
-0.37262,-0.1471,-0.071609,-0.287,-0.084038,0.24585,-0.47174
-0.055446,-0.12428,-0.21483,-0.11834,-0.010311,0.22065,0.18294
-0.020204,0.06068,-0.071609,-0.062118,-0.010311,0.044236,-0.111
0.33222,0.16531,0,-0.062118,1.796,-0.20779,0.1963
0.37921,1.5011,0,-0.062118,1.0219,-5.9545,0.35663
1.7771,0.92663,0,0.21898,0.94814,-5.6766,0.79754
1.8946,-0.98443,0.14322,2.4116,-0.41581,-0.0062159,0.86434
0.54367,-0.80533,1.0025,2.3554,-2.7751,-0.023941,0.53032
0.50843,-0.53668,2.0767,-0.34322,-0.60013,0.011661,0.8777
0.073775,-0.26803,1.289,-1.2427,-0.010311,-0.034875,0.30319
-0.34913,0.090177,0.28644,-1.1303,0.10028,0.0038946,0.022611
-2.3697,0.090177,-0.71609,-0.96164,0.10028,0.032151,-1.8212
