"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.017599,0.093747,1.2723,0.26907,0,2.0037,0.10158,0.40007,0.31144,0.18496,1.221,0.11255,2.6987,1.4404,2.3267,1.81,1.7066
0,0.011189,0.042134,1.2723,0.79205,0,0.28969,0,0.26671,0.76596,0.26892,4.0489,2.8882,2.5578,3.469,3.1173,2.7942,2.099
0,0.011725,0.080005,0.47011,0.96638,0.20913,0.024141,0.20315,0.40007,2.7355,0.77268,1.0819,3.3508,2.6987,3.9399,2.1556,2.7263,2.6922
0,0.021384,0.076021,0.25135,0.67583,0.31369,0,1.2189,0.80014,3.4173,2.7038,0.15474,2.2934,2.5834,3.3312,0.7394,3.0091,2.7926
0,0.0093348,0,0.1055,0.55962,0.10456,0,2.2347,1.2002,3.0385,4.1311,0.10839,1.5004,2.8781,2.3173,1.9909,3.1788,3.1211
0,0.015733,0.070229,0.17842,0.50151,0,0,4.4693,1.4669,2.281,3.6273,0.062027,1.0708,3.1087,2.4533,4.046,3.0996,3.1302
0,0,0.098902,0.17842,0.26907,0,0.16899,4.2662,4.6675,1.372,3.2915,0.10839,0.44298,3.2625,1.8457,1.847,3.3711,3.4131
0,0.011081,0.10123,0.17842,0.32718,0,1.1346,2.2347,5.3343,0.91746,0.68872,0.062027,0.046462,3.0831,2.0515,0.857,1.7308,2.9295
0,0.015213,0.0161,0.1055,0.21096,0,1.6899,1.1173,3.734,0.76596,0.60476,0.062027,0.046462,3.3137,3.1364,2.2882,1.1765,2.2541
0,0.0096457,0.070648,0.1055,0.15285,0,2.0279,0.50788,2.5338,0.6902,0.35288,0.062027,0.046462,3.0575,2.5836,1.6202,1.2218,1.8982
0,0.0045029,0.10476,0.1055,0.15285,0,2.2451,0.30473,0.66679,0.5387,0.18496,0.062027,0.046462,2.8781,2.6535,2.9683,1.4254,1.9165
0,0.019619,0.059391,0.1055,0.15285,0,2.2934,0.20315,0.13336,0.3872,0.10101,0.062027,0.046462,3.16,3.3849,3.3436,1.2218,1.7705
0,0.025778,0.10054,1.2723,0.15285,0,2.052,0.10158,0.13336,0.23569,0.10101,1.6382,0.31081,3.1087,3.0944,1.9947,1.8439,1.6609
0.39337,0.34381,0.32907,0.17765,0.16248,0,2.0037,0,0.13336,0.23569,0.10101,1.3137,0.31081,2.7244,3.2986,3.3887,1.7874,1.5241
0.97615,2.1318,0.36031,0.080921,0.14635,0,0.31383,0,0.13336,0.91746,0.26892,2.9826,2.1943,2.7372,1.7261,2.1959,3.5521,2.1538
1.7483,2.6337,0.5165,0.068609,0.057428,0,0.072423,0.4063,0,1.9022,0.85664,0.80376,2.2273,2.9934,1.5317,1.6415,3.8236,2.9751
2.3165,2.4454,0.7664,0,0.23216,0,0.024141,0.8126,0.53343,1.8265,1.4444,0.29382,1.4012,3.0703,3.3432,3.1849,3.9481,3.8786
2.5642,2.4454,1.2662,0.072323,0.060712,0,0,1.0158,0.53343,1.2962,1.4444,0.10839,0.77342,2.9294,2.1806,2.1096,3.801,4.0702
2.9284,2.4768,1.2974,0.20859,0,0,0,0.91418,1.0669,0.84171,1.1085,0.062027,0.47603,3.1343,1.7827,2.3814,3.5861,4.3896
2.6662,1.9436,1.6411,0.12592,0.12685,0,0.048282,1.1173,0.9335,0.5387,0.60476,0.10839,0.17864,3.0703,1.3243,3.2008,3.439,4.3714
1.1073,0.33335,3.1405,0.057901,0.19496,0,1.1346,0.4063,0.66679,0.31144,0.18496,0.2011,0.11255,3.0831,1.44,0.23038,1.8439,3.5318
0.30596,0.061496,3.4216,0.061336,0.15101,0,1.7382,0.4063,0.53343,0.23569,0.10101,0.062027,0.046462,2.8525,2.111,3.2976,1.5046,2.537
0.058278,0.030128,2.6094,0.070815,0.13755,0,1.9796,0.10158,0.26671,0.23569,0.10101,0.062027,0.046462,3.1215,3.0806,1.553,1.3688,1.9256
0.014569,0.0092165,1.891,0.16905,0.14386,0,2.1727,0,0.26671,0.23569,0.10101,0.062027,0.046462,3.0575,1.3781,0.28849,1.4141,1.6153
0,0.0092165,1.11,0.10648,0.17549,0,2.3658,0,0.13336,0.23569,0.10101,0.062027,0.046462,2.8397,4.0582,1.8053,1.1652,1.451
