"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.072006,-0.91871,-0.32293,0.18892,2.0347,0.13512,1.0019
-0.070207,-0.60773,2.4158,1.3852,-0.52009,-0.3684,0.80519
-0.069546,-0.2637,2.1333,0.30684,-2.1721,0.74546,0.75047
-0.067968,0.036361,0.33632,-0.72483,-0.14332,1.1024,-0.19665
-0.071151,0.13286,0.24131,-1.1089,-0.34068,0.71232,-1.1625
-0.07339,-0.03301,0.058318,-1.0853,0.037087,0.91004,-0.48375
-0.067525,0.15823,-1.5913,-0.59135,0.008449,-0.052864,-0.46713
-0.065668,0.083132,-2.1822,-0.44487,-0.092492,-0.8033,-0.20501
-0.074999,0.15765,-1.1379,-0.074523,-0.27368,-0.67357,0.209
-0.06852,0.32422,-0.40555,-0.12982,0.20073,-0.95002,-0.0038377
-0.067905,1.6873,-0.17688,0.00034024,-0.62122,-0.57828,-0.1366
-0.073052,2.5801,-0.042266,0.26141,1.4453,-0.068963,0.28704
-0.068666,0.18086,0.19908,0.76279,1.2379,-0.46355,0.016589
1.7933,0.095676,-0.24757,0.022265,2.7104,-0.58708,0.22812
0.74,0.10022,0.20219,1.2741,-0.61338,-0.12581,0.16616
-0.26297,0.11632,0.14089,0.54173,-2.8954,-0.74562,0.0027979
0.61993,0.094361,1.2362,-0.30064,0.049156,0.33688,0.51636
0.030044,0.062452,0.52601,-0.62656,-0.26415,1.1273,-0.073069
-0.011151,0.11379,0.092348,-0.56605,0.053145,0.85569,-0.040765
-1.7068,0.11954,-0.64706,-0.12702,-0.11285,0.55065,-0.25703
-1.2364,0.10068,-1.1866,-0.23189,-0.066697,-0.79506,-0.70537
-0.035049,0.10686,0.011495,-0.033352,-0.12779,-0.40051,0.022181
-0.18157,0.10448,-0.17396,-0.071347,0.088614,-1.0889,0.21097
-0.032034,0.11392,-0.0012944,0.030981,-0.45363,0.038679,0.23437
0.00956,0.06892,-0.16367,-0.058611,1.0468,0.2845,-0.0405
0.55575,0.081925,0.22341,0.089329,0.90606,-0.2123,-0.13535
3.7814,0.020801,-0.16299,-0.068716,3.5367,-0.0028803,0.6053
3.8489,-0.59601,0.093283,1.0699,-0.03838,-0.0070988,1.6349
-1.7431,-0.083283,0.51543,1.0823,-3.5404,-0.0075105,0.078934
1.6389,0.11358,1.6105,-0.32969,-0.069236,-0.0098067,2.8007
0.14478,0.010229,1.0436,-0.73784,-0.55293,-0.022396,0.69277
0.81166,0.14801,0.35196,-0.44252,-0.066872,0.0005014,0.66343
-4.6995,0.062306,-0.62374,-0.48643,-0.068749,-0.010163,-3.7514
-4.9288,0.13628,-1.7976,-0.1835,-0.091485,-0.0103,-4.8193
0.86572,0.054457,-0.8578,-0.030608,-0.1044,0.00061697,1.1376
-0.73468,0.16606,-0.1894,-0.18252,0.057556,-0.01312,-0.15924
0.14064,-0.020713,-0.032312,-0.10935,-0.41411,-0.012905,0.42936
0.32939,0.42467,-0.0025287,-0.034743,1.0028,0.0026587,-0.25029
2.1869,0.7412,0.066175,0.033904,0.86007,-0.0063063,0.83762
1.6338,1.8767,-0.13823,0.019519,-0.068617,2.2709,-0.24666
0.23112,1.4836,-0.055177,-0.0038586,-0.066849,0.0014621,-1.4196
-1.551,-1.5449,0.19572,-0.061824,-0.076918,-1.4666,-0.96969
-0.04617,1.2018,-0.024622,-0.016023,-0.060945,-0.63401,0.27908
-0.50398,0.25335,0.35186,0.049628,-0.053522,-0.69413,-0.091415
0.22164,-1.2261,-0.017211,-0.018943,-0.090134,-0.37897,0.19063
-0.15313,-0.18804,-0.12859,-0.071781,-0.063729,-0.069522,0.017073
-0.54816,-0.44846,0.048505,0.036044,-0.060966,0.044154,-0.079476
-0.037648,-0.055705,-0.040344,0.0094912,-0.074162,0.21488,0.7912
-0.10657,-0.034348,-0.2102,-0.052042,-0.061972,0.32421,0.88904
-0.16613,-0.12452,-0.39665,-0.023311,-0.076692,0.32137,0.67455
0.23876,0.37793,-0.010068,-0.043452,-0.091066,1.8894,-0.94165
0.32347,0.81303,0.14596,-0.0018749,-0.064239,0.44655,-1.0822
-0.070257,0.18824,0.13648,0.65178,-0.074264,-0.56101,-0.24841
-0.070257,0.25861,0.12785,1.8804,0.040384,-0.50782,-0.040033
-0.070257,-0.99809,1.5712,1.9052,0.090405,-0.4084,-0.056195
-0.070257,-1.5459,0.89616,-0.10473,0.063347,-0.082278,0.29218
-0.070257,-0.68315,0.31632,0.0643,0.037922,-0.12368,0.030664
-0.070257,-0.24361,0.19462,-0.63432,-0.071379,0.33828,0.65306
-0.070257,-0.26665,-1.0985,-0.9034,-0.26543,0.092306,0.65428
-0.070257,-0.015477,-0.60844,-0.8793,-0.30197,1.094,0.10916
-0.070257,0.038423,-0.76152,-1.4325,-0.16132,1.7593,-0.54869
-0.070257,-0.0042858,-0.18495,-0.10237,-0.076123,0.82648,-0.91192
-0.070257,0.10238,-0.29159,-0.52007,-0.088319,-0.47395,0.00024062
-0.070257,0.56979,-0.18266,-0.39627,-0.079692,-1.2996,-0.10537
-0.070257,1.5577,0.34992,0.17876,-0.032912,-0.028978,0.12448
0.12365,-4.3214,-0.90234,1.8619,2.1822,-0.94875,0.0027432
0.35137,-2.3278,1.4906,2.3187,-0.58641,-0.59846,-0.021769
-0.1557,-0.94765,1.8333,2.1405,-2.4199,-0.2361,0.0054023
0.61097,-0.33301,3.5373,-0.70732,0.1498,-0.05477,0.23974
0.44935,0.052832,-0.195,-2.034,-0.33078,-0.066857,0.92833
0.84352,0.055027,-1.3629,-1.3502,0.13877,1.0791,2.6431
-1.3444,0.07556,0.49701,-1.1688,0.0015871,1.9018,-1.3553
-1.7469,0.11528,-2.765,-0.46654,-0.27908,0.99953,-2.0852
0.13804,0.087612,-1.769,-0.59828,-0.15542,1.0418,-0.27648
-0.24439,0.32529,-0.7397,-0.24792,0.046666,-0.74212,-0.47014
-0.043143,0.50967,-0.16939,-0.073168,-0.45561,-2.1134,0.2398
0.109,0.80566,-0.24656,-0.1161,1.1598,-0.98393,-0.12676
0.5106,1.7722,0.41013,0.28236,0.85212,-0.53691,0.5406
0.32039,-3.5536,0.68054,0.62413,2.5626,-1.1457,0.46652
0.53361,-1.7596,0.68753,3.074,-0.90125,-0.19158,-0.34892
0.76871,-0.48739,1.4245,0.61838,-2.3854,-0.30295,1.1551
1.1208,0.020812,1.7263,-0.91054,0.27569,1.1419,2.4328
-0.76871,0.089463,-0.40707,-1.4008,-0.59795,2.9365,-1.5647
-0.8094,0.091438,1.6305,-1.5734,0.017904,1.9693,-2.1333
-1.0973,0.12611,-0.90417,-0.27996,-0.099085,0.56116,0.0061958
0.12965,0.1258,-1.064,-0.71097,-0.058532,-2.0462,-0.035066
0.27024,0.090095,-0.2084,-0.049151,-0.069557,-2.1189,0.31723
0.44735,0.1061,-2.0643,-0.12345,-0.073738,-0.092325,0.14956
-0.1437,0.18843,-0.53039,-0.10022,-0.048793,0.26061,-0.12844
0.24259,0.20953,-0.64084,-0.099721,-0.1284,0.0027381,0.36856
0.38768,0.032701,0.32546,0.13267,0.1408,-0.58691,0.083415
2.1763,-1.285,-0.39842,-0.23834,2.4313,-0.94637,0.23194
0.87972,-1.0721,0.63261,2.5808,-0.74184,-0.24702,0.014606
-1.4961,-0.15066,1.1053,0.91759,-2.6206,-0.29024,0.066691
-1.0102,0.029403,0.53138,-1.2381,0.29765,0.14228,-0.019907
-0.20177,0.031046,-0.76787,-0.4129,-0.31794,-0.34382,0.84429
-0.099747,0.066261,-0.46194,-0.93702,-0.16923,1.7285,0.87992
-0.061572,0.014751,-0.12142,-0.47827,-0.078042,2.6235,-1.6439
-0.068952,0.24093,-0.53911,-0.49424,-0.074305,-0.67931,-0.65343
-0.081107,0.04795,-0.064323,-0.27697,-0.15812,-0.6335,0.015393
-0.04527,1.0642,-0.15626,0.015429,0.10052,-0.36739,-0.038998
-0.12708,1.2428,0.072361,-0.083039,-0.50738,-0.78474,0.024152
0.11922,1.6186,-0.028501,0.1665,1.4364,-1.0329,-0.10826
0.59275,2.0581,0.02045,0.30673,0.93132,-0.025183,0.49847
0.82417,-1.4036,-0.33228,0.47783,1.4066,-0.78004,0.23019
0.50945,-1.2906,0.55977,1.9984,-0.46052,-0.45309,0.11796
0.47593,-0.27542,1.7432,1.2949,-1.2915,-0.21781,0.25423
-0.86137,-0.037265,0.67569,-0.6797,-0.31163,0.27114,0.83813
