"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.01747,-1.6138,1.527,2.9946,3.4305,-0.56438,0.98249
-0.045876,-1.0237,2.2132,2.2323,0.15204,-0.049064,1.5043
-0.033676,-0.31055,2.5183,0.29198,-2.6087,1.6158,1.9126
0.018767,-0.089246,2.3276,-1.683,-1.1938,2.6464,-0.46943
-0.020771,-0.015476,0.26876,-1.8909,-0.15855,1.5365,-2.307
0.040047,-0.040066,-1.1801,-1.1979,0.18655,0.70409,-1.1954
0.051158,-0.040066,-1.9808,-1.0594,0.048507,-0.4851,-0.33331
-0.078534,-0.015476,-3.0102,-0.71286,-0.22757,-1.4761,-0.10645
-0.028396,0.20583,-1.5614,-0.29706,-0.089532,-1.1986,-0.015706
0.0073661,0.62386,-0.6463,-0.19312,-0.020513,-1.0401,0.0069804
-0.018775,1.5337,-0.30315,-0.054518,0.013997,-1.0797,0.18847
0.017891,1.8534,0.0018664,0.67312,0.84223,-0.76258,0.097725
0.45871,-1.6786,-0.11252,-0.15847,1.0493,1.0212,0.029667
2.3548,-2.4325,-0.11252,-0.47031,2.4987,1.5762,1.1867
1.0712,-0.0095475,0.1925,1.574,-0.12404,0.90228,0.39265
-0.65051,0.014351,1.4126,1.5394,-3.3335,0.26805,-1.082
-0.11088,0.01629,2.3276,0.04943,-0.98679,-0.60402,-0.44674
-0.21367,-0.0127,0.99317,-0.78216,-0.089532,-0.6833,0.052353
0.22318,-0.047818,-0.30315,-0.8861,0.048507,-0.12834,0.32459
-1.2672,-0.033023,-1.142,-0.64356,0.083017,0.030215,0.27921
-1.5756,0.044858,-1.6376,-0.40101,-0.089532,-0.16798,-0.24257
-0.26506,0.09135,-1.0657,-0.089168,-0.12404,0.030215,-0.46943
-0.11088,0.028619,-0.41753,-0.089168,-0.055023,0.18877,-0.15182
-0.0080948,-0.0060289,0.0018664,-0.12382,-0.020513,-0.64366,-0.038392
0.40305,0.032789,0.0018664,-0.089168,1.0493,-0.92113,0.12041
0.8656,0.37679,-0.18877,-0.12382,0.91125,-1.076,3.5914
4.309,0.53057,-0.15064,0.084079,1.2218,-0.94239,5.6785
3.8464,-0.18761,0.0018664,0.70777,0.29008,0.009724,0.4607
0.17178,-0.53186,0.23063,0.84637,-2.0911,0.074146,-0.71898
0.37736,-0.18761,0.6119,0.43057,-1.1593,-0.026451,2.1622
0.8656,0.058293,0.57378,-0.19312,-0.19306,-0.068796,1.232
-0.21367,0.15665,0.1925,-0.78216,-0.089532,0.035228,-0.60555
-4.7877,0.033704,-0.45566,-0.53961,-0.020513,0.066431,-4.0085
-4.8391,-0.11384,-0.6463,-0.15847,-0.055023,-0.088109,-3.7136
-1.0103,-0.064656,-0.34128,-0.12382,-0.089532,-0.10148,-0.31063
-0.085185,0.0091137,-0.15064,-0.12382,-0.020513,0.058601,0.3019
-0.0080948,-0.015476,0.0018664,-0.054518,-0.020513,0.067587,0.39265
0.71142,0.30419,0.0018664,0.014781,1.4289,-0.047808,0.77831
0.68572,0.99271,0.0018664,0.033858,-0.028645,0.87816,-1.4222
0.71142,1.8288,0.039994,0.037466,-1.5132,1.4558,-2.1482
0.017602,0.96812,0.1925,0.0056406,-0.047933,0.18877,-1.2408
-1.0617,-0.26137,0.34501,0.041241,0.043193,-0.72294,-1.0366
-0.49633,-0.55645,0.11625,-0.033928,0.052663,-0.76258,-0.10645
-0.033792,-1.0237,0.078121,-0.036953,-0.0482,-0.60402,-0.015706
0.40305,-0.97448,0.15438,0.091115,-0.076055,-0.2869,0.23384
-0.26506,-0.53186,-0.074388,0.016864,0.048911,0.069854,0.23384
-0.65051,-0.18761,-0.18877,-0.00050659,-0.0055668,0.18877,0.21116
-0.11088,-0.11384,-0.15064,-0.040843,-0.069573,0.50589,0.77831
-0.0080948,-0.089246,-0.11252,0.0045874,-0.029548,1.0608,0.50608
-0.0080948,-0.11384,-0.036261,0.10845,-0.01614,1.4572,-0.74166
0.37736,0.35337,-0.074388,-0.074922,-0.050683,1.1005,-0.44674
-0.0080948,1.214,-0.11252,0.081189,-0.038021,-0.6833,-0.40137
-0.39355,2.0501,-0.074388,0.36959,0.090684,-1.5157,-0.53749
-0.0080948,1.9271,0.078121,1.6087,0.11753,-0.96077,-0.061078
-0.0080948,-0.38432,0.42127,2.4056,0.048507,-0.60402,-0.038392
-0.0080948,-1.7368,1.0694,1.678,0.15204,-0.36618,0.0069804
-0.0080948,-1.1466,1.4507,0.56917,0.32459,-0.20762,-0.015706
-0.0080948,-0.75317,0.34501,0.18803,-0.089532,0.069854,0.25653
-0.0080948,-0.4335,-0.2269,-0.22777,-0.15855,-0.088704,0.34727
-0.0080948,-0.35973,-0.11252,-0.92075,-0.089532,0.030215,0.93711
-0.0080948,-0.28596,0.039994,-1.3365,-0.26208,0.58517,0.82368
-0.0080948,-0.18761,-0.30315,-1.6484,-0.12404,1.259,0.21116
-0.0080948,-0.13843,-1.0276,-0.9554,-0.089532,2.0915,-0.46943
-0.0080948,-0.064656,-0.87506,-0.47031,-0.089532,1.2194,-1.0593
0.32596,1.3616,-0.6463,-0.43566,0.77321,-1.7932,-0.44674
1.3281,0.47632,-0.18877,0.56917,2.4297,-1.9121,0.12041
1.2254,-1.2204,0.23063,1.2968,-0.12404,-0.20762,-0.17451
-0.085185,-0.33514,0.30688,0.56917,-2.2982,-0.36618,-0.31063
0.58293,-0.064656,0.84067,0.04943,-0.6762,-0.0094248,1.5496
1.2767,-0.11384,0.80254,-0.74751,-0.15855,1.378,0.86906
-0.65051,-0.064656,-0.036261,-0.85146,-0.055023,2.1311,-0.78704
-2.2437,0.058293,-0.76068,-0.53961,-0.055023,1.3383,-0.78704
-1.4728,0.20583,-0.83693,-0.53961,-0.055023,-0.32654,-0.92315
-0.29076,1.6812,-0.34128,-0.12382,-0.020513,-1.3175,-0.28794
-0.059488,2.1976,-0.15064,0.25733,0.048507,-1.0004,-0.061078
-0.033792,0.62386,0.039994,1.1582,0.013997,-1.2382,-0.12914
0.24887,-0.72858,0.26876,2.1977,1.0838,-1.159,0.029667
0.14609,1.5337,-0.11252,-0.78216,0.98027,0.069854,0.16578
0.22318,0.033704,0.1925,-0.50496,0.94576,-0.0094248,0.21116
0.68572,-3.1384,1.3363,2.8907,-0.57267,-0.52474,0.097725
0.8656,-1.3925,2.6326,1.1929,-1.884,-0.16798,0.25653
1.5337,-0.63022,2.137,-0.67821,-0.29659,0.10949,1.3682
1.2767,-0.23678,0.84067,-1.4058,-0.22757,1.4572,1.3001
-0.49633,-0.064656,0.65003,-1.683,-0.22757,3.0032,-0.80972
-1.2672,-0.040066,-0.72255,-1.0594,-0.089532,2.805,-1.6945
-0.65051,-0.015476,-1.8282,-0.60891,-0.020513,1.4969,-0.87778
-0.41924,0.0091137,-2.0189,-0.47031,-0.020513,-0.32654,-0.21988
-0.41924,0.0091137,-1.2945,-0.15847,-0.020513,-1.2779,-0.015706
0.30027,0.0091137,-0.76068,-0.12382,-0.020513,-1.7139,0.052353
0.53154,0.082883,-0.72255,-0.089168,-0.020513,-2.15,0.18847
-1.0103,4.2386,-0.41753,0.91567,1.3944,-1.7139,0.0069804
-0.93318,1.632,0.65003,3.1332,3.3269,-1.1986,0.27921
0.19748,-3.6302,2.9377,2.8907,-0.46914,-0.64366,0.0069804
-0.36785,-1.3679,2.2132,0.43057,-2.8503,-0.12834,-0.33331
-0.47064,-0.35973,-0.37941,-0.12382,-0.57267,-0.049064,0.3019
-0.11088,-0.21219,-0.76068,-1.0594,-0.43463,0.18877,0.50608
-0.033792,-0.16302,-1.0276,-1.9949,-0.43463,0.54553,0.66488
-0.0080948,-0.064656,-1.2945,-1.3712,-0.12404,0.78337,0.82368
-0.0080948,-0.040066,-0.68442,-1.0247,0.013997,1.1798,-0.42406
-0.0080948,0.058293,-0.79881,-0.71286,-0.020513,1.3383,-1.1954
-0.0080948,0.45173,-0.79881,-0.40101,-0.055023,0.14913,-0.56017
-0.0080948,1.8288,-0.18877,-0.15847,-0.020513,-1.159,-0.31063
0.24887,3.3042,0.0018664,0.46522,0.98027,-1.2779,-0.061078
0.35166,-0.38432,0.0018664,-0.15847,1.3254,-0.2869,0.18847
0.8656,-3.0646,-0.036261,0.084079,1.3944,-0.20762,0.1431
1.1226,-1.245,0.34501,1.8166,-0.40012,-0.64366,0.32459
0.55723,-0.53186,1.0694,1.3315,-2.2637,-0.088704,0.43802
-1.1388,-0.13843,0.76441,-0.33171,-0.95228,0.069854,0.21116
-1.6784,-0.015476,0.0018664,-1.1979,-0.12404,0.66445,0.34727
-0.36785,-0.015476,-0.37941,-0.9554,-0.055023,1.7347,-0.10645
-0.033792,0.033704,-0.72255,-0.57426,-0.089532,1.2987,-0.83241
-0.0080948,0.13206,-0.72255,-0.36636,-0.020513,-0.12834,-0.56017
-0.0080948,0.84517,-0.37941,-0.22777,-0.020513,-0.72294,-0.12914
