"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.0077311,0.082829,2.2216,1.6889,0.27318,2.0568,0,0.085917,0.18892,0.039224,1.6533,0.17156,0.51102,1.475,2.1505,0.23429,0.12614
0,0.032389,0.041827,1.19,3.0246,1.2748,0.4305,0,0.057278,1.1724,0.47063,4.6962,2.3868,0.32534,1.475,1.9007,0.23429,0.25228
0,0.019915,0.10168,0.34043,1.8508,2.1854,0.095667,0.90785,0.20047,2.7296,1.8224,1.7937,3.1151,0.36247,0.94587,1.2762,0.43512,0.14908
0,0.046212,0.10744,0.12804,1.0008,2.1854,0.023917,2.1561,1.1456,2.7842,2.4263,0.85742,2.3564,0.58529,0.70537,0.65177,0.97065,0.38989
0,0.011711,0,0.067361,0.63648,1.6391,0,2.8938,2.0334,2.3744,2.829,0.15521,1.355,1.4766,0.94587,0.52688,1.7572,0.83713
0,0.0011734,0.18649,0.067361,0.51505,1.457,0,3.2342,2.2911,1.5549,3.1166,0.10839,1.0516,2.9991,2.1965,0.77666,0.83677,1.1009
0,0.030085,0.13977,0.067361,0.4341,1.0017,0.047833,3.0072,2.6061,1.0904,1.7648,0.10839,0.38398,3.779,3.7838,1.6509,0.20082,0.68805
0,0,0.022473,0.097702,0.31267,0.72848,1.1241,1.5604,2.2625,0.76261,0.44187,0.15521,0.050176,3.2962,3.88,2.8999,0.050206,0.43576
0,0.019406,0.22243,0.097702,0.27219,0.63742,1.8177,0.90785,2.0334,0.43478,0.26931,0.15521,0.080521,2.4421,3.2547,3.1496,0.050206,0.21788
0,0.02683,0.10821,0.21907,0.27219,0.63742,2.0808,0.48229,1.3174,0.29819,0.21179,0.15521,0.050176,1.6622,3.0142,4.0239,0,0.068805
0,0.0030613,0.037484,0.67419,0.35315,0.54636,2.2003,0.2837,0.68733,0.13428,0.1255,0.10839,0.050176,1.3651,2.437,3.899,0.016735,0.057337
0,0.050348,0.066813,1.0686,0.7579,0.36424,2.2482,0.02837,0.34367,0.079641,0.039224,0.15521,0.050176,1.1052,1.8117,3.3994,0.15062,0.068805
0,0.044881,0.13051,2.4643,1.6079,0.4553,1.7938,0,0.14319,0.29819,0.1255,1.3256,0.2019,0.77097,1.3788,2.8999,0.25103,0.16054
0.16622,0.20772,0.17002,0.023675,0.040222,0,1.8416,0,0.028639,0.025003,0.067984,1.3256,0.17156,1.4023,2.5332,2.5252,0.20082,0.26375
0.58177,1.6257,0.2236,0.052993,0.12294,0,0.31092,0,0,0.48942,0.15427,3.7599,2.9937,1.1795,2.4851,2.6501,0.46859,0.28669
0.91422,1.3506,0.17002,0.064281,0.11567,0,0.07175,0.19859,0.057278,1.309,0.72947,1.4192,3.3882,1.2166,2.3889,2.0256,0.26777,0.24082
1.219,1.1389,0.2236,0.054467,0.062646,0,0,0.85111,0.34367,1.5002,1.3047,0.24884,2.5082,1.1052,2.3889,1.4011,0.53553,0.26375
1.4406,1.0966,0.27718,0.07354,0.20442,0,0,1.5887,0.71597,1.6095,1.9662,0.10839,1.264,1.1052,2.5332,1.7758,0.23429,0.25228
1.3575,1.3717,0.2236,0.045757,0.055029,0,0,1.8724,1.3747,1.2543,2.1962,0.10839,0.65709,1.1052,1.5231,1.9007,0.71962,0.26375
1.5791,1.6045,0.38435,0.05976,0.10962,0,0.1435,2.1561,2.1479,0.43478,1.3622,0.38928,0.2626,1.328,1.5712,1.4011,1.1547,0.68805
0.49866,0.25005,1.6703,0.073148,0.067264,0,1.1002,1.0497,1.7756,0.21623,0.32683,0.10839,0.050176,2.5164,1.5231,1.526,0.33471,0.72245
0.13852,0.059577,1.6168,0,0,0,1.722,0.62414,1.4033,0.18892,0.15427,0.10839,0.050176,2.4792,1.6674,1.4011,0.31797,0.5275
