# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 1.1579999923706055
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 35.0, 16.0, 8.0, 97.0, 44.0, 6.0, 77.0, 4.0, 4.0, 5.0, 1.0, 42.0, 5.0, 5.0, 36.0, 38.0, 10.0, 11.0, 25.0, 0.5987544437548351
0.20013898540653233, 37.0, 21.0, 5.0, 93.0, 49.0, 6.0, 69.0, 4.0, 4.0, 8.0, 1.0, 52.0, 5.0, 5.0, 35.0, 37.0, 12.0, 11.0, 22.0, 0.6900933898705643
0.3002084781097985, 39.0, 22.0, 2.0, 91.0, 53.0, 7.0, 66.0, 4.0, 4.0, 9.0, 1.0, 56.0, 5.0, 4.0, 34.0, 35.0, 11.0, 11.0, 19.0, 0.7686730986656962
0.40027797081306465, 38.0, 25.0, 1.0, 89.0, 57.0, 6.0, 59.0, 4.0, 4.0, 12.0, 1.0, 64.0, 5.0, 3.0, 33.0, 33.0, 15.0, 11.0, 23.0, 0.8321737287898963
0.5003474635163309, 38.0, 26.0, 1.0, 83.0, 54.0, 8.0, 55.0, 4.0, 3.0, 12.0, 1.0, 75.0, 5.0, 3.0, 33.0, 32.0, 16.0, 12.0, 22.0, 0.8809429265252215
0.600416956219597, 38.0, 29.0, 2.0, 79.0, 56.0, 9.0, 48.0, 4.0, 3.0, 14.0, 1.0, 84.0, 4.0, 3.0, 33.0, 32.0, 16.0, 12.0, 25.0, 0.9169543951076983
0.7004864489228632, 38.0, 29.0, 2.0, 73.0, 56.0, 10.0, 42.0, 4.0, 3.0, 13.0, 1.0, 85.0, 3.0, 3.0, 33.0, 31.0, 21.0, 14.0, 27.0, 0.942780880707639
0.8005559416261293, 37.0, 29.0, 1.0, 64.0, 57.0, 10.0, 41.0, 3.0, 2.0, 16.0, 1.0, 90.0, 3.0, 2.0, 32.0, 31.0, 20.0, 13.0, 26.0, 0.960917875765303
0.9006254343293955, 37.0, 27.0, 1.0, 63.0, 59.0, 10.0, 40.0, 3.0, 2.0, 16.0, 1.0, 94.0, 3.0, 2.0, 32.0, 32.0, 19.0, 13.0, 24.0, 0.9734676987345701
1.0006949270326617, 38.0, 26.0, 0.0, 63.0, 59.0, 13.0, 34.0, 3.0, 2.0, 17.0, 1.0, 96.0, 3.0, 3.0, 32.0, 33.0, 20.0, 14.0, 29.0, 0.9820628214792557
1.1007644197359279, 37.0, 30.0, 0.0, 58.0, 63.0, 13.0, 27.0, 3.0, 2.0, 19.0, 1.0, 88.0, 3.0, 4.0, 31.0, 33.0, 21.0, 14.0, 26.0, 0.9879081454970784
1.200833912439194, 37.0, 29.0, 2.0, 56.0, 67.0, 13.0, 26.0, 3.0, 2.0, 22.0, 1.0, 84.0, 3.0, 4.0, 29.0, 32.0, 25.0, 15.0, 26.0, 0.9918643898219871
1.3009034051424602, 35.0, 32.0, 2.0, 51.0, 72.0, 12.0, 22.0, 3.0, 2.0, 24.0, 1.0, 81.0, 3.0, 3.0, 28.0, 31.0, 24.0, 13.0, 29.0, 0.9945333825431633
1.4009728978457263, 36.0, 30.0, 1.0, 51.0, 73.0, 13.0, 20.0, 2.0, 2.0, 29.0, 1.0, 81.0, 3.0, 3.0, 28.0, 30.0, 25.0, 12.0, 32.0, 0.9963300172786766
1.5010423905489925, 36.0, 30.0, 2.0, 47.0, 76.0, 13.0, 18.0, 2.0, 2.0, 31.0, 1.0, 81.0, 3.0, 3.0, 28.0, 29.0, 25.0, 12.0, 31.0, 0.9975376398021798
1.6011118832522586, 38.0, 31.0, 0.0, 45.0, 75.0, 11.0, 15.0, 2.0, 2.0, 32.0, 1.0, 74.0, 2.0, 3.0, 28.0, 27.0, 25.0, 14.0, 26.0, 0.9983485479540277
1.7011813759555248, 37.0, 29.0, 1.0, 40.0, 75.0, 11.0, 14.0, 2.0, 2.0, 33.0, 1.0, 73.0, 2.0, 2.0, 27.0, 26.0, 23.0, 14.0, 31.0, 0.9988927030506266
1.801250868658791, 39.0, 25.0, 0.0, 37.0, 73.0, 14.0, 13.0, 2.0, 2.0, 33.0, 1.0, 68.0, 2.0, 2.0, 26.0, 26.0, 26.0, 18.0, 31.0, 0.9992576918158196
1.901320361362057, 38.0, 27.0, 0.0, 36.0, 72.0, 14.0, 12.0, 2.0, 2.0, 33.0, 1.0, 61.0, 2.0, 2.0, 26.0, 26.0, 24.0, 15.0, 31.0, 0.9995024324028231
2.0013898540653234, 38.0, 29.0, 0.0, 34.0, 69.0, 15.0, 11.0, 2.0, 2.0, 34.0, 0.0, 55.0, 2.0, 1.0, 26.0, 23.0, 25.0, 15.0, 29.0, 0.9996665084277205
2.1014593467685896, 37.0, 25.0, 0.0, 33.0, 66.0, 14.0, 11.0, 2.0, 2.0, 35.0, 0.0, 53.0, 2.0, 1.0, 26.0, 23.0, 21.0, 16.0, 26.0, 0.9997764914569266
2.2015288394718557, 36.0, 25.0, 1.0, 31.0, 65.0, 14.0, 9.0, 2.0, 2.0, 41.0, 0.0, 50.0, 2.0, 1.0, 25.0, 22.0, 18.0, 16.0, 24.0, 0.999850208339716
2.301598332175122, 36.0, 26.0, 0.0, 31.0, 64.0, 15.0, 7.0, 2.0, 2.0, 44.0, 0.0, 48.0, 2.0, 1.0, 23.0, 22.0, 15.0, 16.0, 24.0, 0.9998996145939305
2.401667824878388, 36.0, 25.0, 0.0, 30.0, 62.0, 16.0, 6.0, 2.0, 2.0, 46.0, 0.0, 48.0, 2.0, 1.0, 23.0, 22.0, 17.0, 15.0, 28.0, 0.9999327261244452
2.501737317581654, 37.0, 28.0, 1.0, 28.0, 62.0, 15.0, 4.0, 1.0, 2.0, 46.0, 0.0, 47.0, 2.0, 1.0, 23.0, 22.0, 16.0, 14.0, 27.0, 0.9999549165055355
2.6018068102849203, 36.0, 28.0, 1.0, 28.0, 60.0, 16.0, 3.0, 1.0, 2.0, 47.0, 0.0, 44.0, 2.0, 1.0, 20.0, 22.0, 16.0, 14.0, 32.0, 0.9999697875798237
2.7018763029881865, 37.0, 34.0, 0.0, 24.0, 59.0, 18.0, 3.0, 2.0, 2.0, 47.0, 0.0, 42.0, 2.0, 1.0, 19.0, 21.0, 18.0, 14.0, 31.0, 0.9999797534360182
2.8019457956914526, 37.0, 34.0, 0.0, 24.0, 54.0, 19.0, 3.0, 2.0, 2.0, 49.0, 0.0, 39.0, 2.0, 1.0, 17.0, 20.0, 18.0, 13.0, 34.0, 0.9999864320036896
