# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Stop time: 144.0
# Number of independent replications: 1
# Start time: 0.0
# Model Parameters
# Run time = 1.003999948501587
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 34.0, 12.0, 8.0, 106.0, 44.0, 5.0, 79.0, 4.0, 4.0, 6.0, 1.0, 41.0, 5.0, 5.0, 38.0, 38.0, 11.0, 9.0, 31.0, 0.5987544437548351
0.20013898540653233, 39.0, 18.0, 3.0, 110.0, 43.0, 6.0, 76.0, 3.0, 4.0, 7.0, 1.0, 53.0, 5.0, 7.0, 35.0, 39.0, 14.0, 8.0, 29.0, 0.6900933898705643
0.3002084781097985, 42.0, 20.0, 1.0, 116.0, 44.0, 6.0, 72.0, 3.0, 4.0, 8.0, 1.0, 58.0, 4.0, 6.0, 37.0, 38.0, 14.0, 9.0, 31.0, 0.7686730986656962
0.40027797081306465, 42.0, 23.0, 2.0, 125.0, 45.0, 8.0, 66.0, 3.0, 4.0, 11.0, 1.0, 66.0, 4.0, 5.0, 35.0, 38.0, 14.0, 11.0, 35.0, 0.8321737287898963
0.5003474635163309, 42.0, 27.0, 1.0, 128.0, 49.0, 7.0, 60.0, 3.0, 3.0, 12.0, 1.0, 71.0, 4.0, 4.0, 33.0, 37.0, 17.0, 10.0, 36.0, 0.8809429265252215
0.600416956219597, 42.0, 28.0, 1.0, 134.0, 53.0, 7.0, 55.0, 3.0, 3.0, 14.0, 1.0, 77.0, 4.0, 5.0, 32.0, 38.0, 19.0, 13.0, 34.0, 0.9169543951076983
0.7004864489228632, 40.0, 31.0, 1.0, 139.0, 53.0, 8.0, 47.0, 3.0, 3.0, 16.0, 1.0, 84.0, 4.0, 5.0, 32.0, 37.0, 20.0, 14.0, 37.0, 0.942780880707639
0.8005559416261293, 41.0, 36.0, 2.0, 147.0, 55.0, 10.0, 45.0, 2.0, 3.0, 17.0, 1.0, 97.0, 4.0, 5.0, 31.0, 38.0, 23.0, 14.0, 41.0, 0.960917875765303
0.9006254343293955, 42.0, 38.0, 1.0, 150.0, 58.0, 11.0, 40.0, 2.0, 3.0, 18.0, 1.0, 99.0, 3.0, 5.0, 30.0, 36.0, 26.0, 16.0, 36.0, 0.9734676987345701
