# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 0.8610000014305115
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 35.0, 18.0, 8.0, 104.0, 42.0, 6.0, 76.0, 4.0, 4.0, 7.0, 1.0, 40.0, 5.0, 6.0, 37.0, 37.0, 10.0, 10.0, 25.0, 0.5987544437548351
0.20013898540653233, 38.0, 21.0, 4.0, 112.0, 45.0, 7.0, 71.0, 3.0, 3.0, 9.0, 1.0, 50.0, 5.0, 6.0, 35.0, 35.0, 10.0, 9.0, 23.0, 0.6900933898705643
0.3002084781097985, 39.0, 23.0, 6.0, 118.0, 48.0, 7.0, 68.0, 3.0, 3.0, 11.0, 1.0, 58.0, 4.0, 6.0, 35.0, 35.0, 13.0, 8.0, 22.0, 0.7686730986656962
0.40027797081306465, 41.0, 19.0, 4.0, 124.0, 51.0, 8.0, 62.0, 3.0, 3.0, 14.0, 1.0, 67.0, 4.0, 5.0, 35.0, 34.0, 13.0, 9.0, 19.0, 0.8321737287898963
0.5003474635163309, 42.0, 23.0, 4.0, 124.0, 59.0, 8.0, 50.0, 3.0, 3.0, 15.0, 1.0, 70.0, 3.0, 5.0, 33.0, 33.0, 13.0, 8.0, 21.0, 0.8809429265252215
0.600416956219597, 45.0, 26.0, 2.0, 123.0, 64.0, 7.0, 43.0, 3.0, 3.0, 17.0, 1.0, 73.0, 2.0, 5.0, 32.0, 34.0, 16.0, 8.0, 20.0, 0.9169543951076983
0.7004864489228632, 44.0, 27.0, 3.0, 125.0, 66.0, 7.0, 42.0, 2.0, 3.0, 16.0, 1.0, 75.0, 2.0, 5.0, 30.0, 33.0, 16.0, 8.0, 21.0, 0.942780880707639
0.8005559416261293, 44.0, 32.0, 0.0, 131.0, 68.0, 8.0, 37.0, 2.0, 3.0, 17.0, 1.0, 81.0, 2.0, 5.0, 29.0, 32.0, 16.0, 8.0, 21.0, 0.960917875765303
0.9006254343293955, 43.0, 34.0, 0.0, 138.0, 66.0, 10.0, 34.0, 2.0, 3.0, 20.0, 1.0, 89.0, 2.0, 5.0, 28.0, 31.0, 14.0, 9.0, 22.0, 0.9734676987345701
1.0006949270326617, 43.0, 41.0, 0.0, 145.0, 65.0, 9.0, 31.0, 2.0, 2.0, 21.0, 1.0, 90.0, 2.0, 5.0, 26.0, 31.0, 15.0, 9.0, 20.0, 0.9820628214792557
1.1007644197359279, 42.0, 37.0, 0.0, 150.0, 70.0, 9.0, 29.0, 2.0, 2.0, 22.0, 1.0, 93.0, 2.0, 6.0, 26.0, 31.0, 15.0, 11.0, 22.0, 0.9879081454970784
1.200833912439194, 40.0, 36.0, 0.0, 163.0, 69.0, 12.0, 24.0, 3.0, 2.0, 23.0, 1.0, 89.0, 2.0, 6.0, 24.0, 31.0, 17.0, 12.0, 25.0, 0.9918643898219871
1.3009034051424602, 40.0, 34.0, 1.0, 168.0, 74.0, 13.0, 22.0, 4.0, 2.0, 23.0, 1.0, 92.0, 2.0, 6.0, 24.0, 31.0, 16.0, 13.0, 27.0, 0.9945333825431633
1.4009728978457263, 41.0, 31.0, 0.0, 161.0, 82.0, 15.0, 19.0, 4.0, 2.0, 28.0, 1.0, 95.0, 2.0, 6.0, 24.0, 29.0, 13.0, 13.0, 28.0, 0.9963300172786766
1.5010423905489925, 40.0, 27.0, 0.0, 168.0, 83.0, 15.0, 18.0, 4.0, 2.0, 32.0, 1.0, 94.0, 2.0, 6.0, 24.0, 27.0, 13.0, 14.0, 27.0, 0.9975376398021798
1.6011118832522586, 40.0, 28.0, 0.0, 173.0, 88.0, 15.0, 18.0, 4.0, 2.0, 33.0, 1.0, 89.0, 2.0, 5.0, 21.0, 25.0, 12.0, 13.0, 28.0, 0.9983485479540277
