# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 0.5600000023841858
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 39.0, 11.0, 3.0, 102.0, 45.0, 6.0, 82.0, 4.0, 5.0, 4.0, 1.0, 42.0, 4.0, 5.0, 39.0, 39.0, 15.0, 10.0, 22.0, 0.5987544437548351
0.20013898540653233, 40.0, 11.0, 2.0, 112.0, 44.0, 8.0, 78.0, 4.0, 5.0, 4.0, 1.0, 56.0, 3.0, 5.0, 39.0, 39.0, 19.0, 10.0, 21.0, 0.6900933898705643
0.3002084781097985, 41.0, 10.0, 2.0, 118.0, 45.0, 7.0, 75.0, 4.0, 4.0, 3.0, 1.0, 66.0, 3.0, 5.0, 39.0, 37.0, 19.0, 11.0, 23.0, 0.7686730986656962
0.40027797081306465, 43.0, 9.0, 1.0, 125.0, 53.0, 8.0, 66.0, 4.0, 5.0, 5.0, 1.0, 77.0, 2.0, 4.0, 38.0, 37.0, 22.0, 11.0, 26.0, 0.8321737287898963
0.5003474635163309, 43.0, 8.0, 1.0, 125.0, 54.0, 9.0, 60.0, 5.0, 5.0, 5.0, 1.0, 88.0, 2.0, 3.0, 37.0, 35.0, 20.0, 13.0, 27.0, 0.8809429265252215
0.600416956219597, 44.0, 8.0, 0.0, 133.0, 62.0, 8.0, 56.0, 5.0, 6.0, 9.0, 1.0, 95.0, 2.0, 3.0, 37.0, 34.0, 16.0, 13.0, 27.0, 0.9169543951076983
0.7004864489228632, 44.0, 6.0, 0.0, 136.0, 68.0, 9.0, 49.0, 5.0, 6.0, 10.0, 1.0, 100.0, 2.0, 3.0, 33.0, 35.0, 18.0, 13.0, 29.0, 0.942780880707639
0.8005559416261293, 45.0, 6.0, 0.0, 143.0, 74.0, 9.0, 42.0, 5.0, 6.0, 12.0, 1.0, 98.0, 2.0, 3.0, 32.0, 34.0, 18.0, 14.0, 28.0, 0.960917875765303
0.9006254343293955, 45.0, 6.0, 0.0, 145.0, 80.0, 10.0, 34.0, 4.0, 5.0, 10.0, 1.0, 99.0, 2.0, 3.0, 31.0, 34.0, 20.0, 15.0, 29.0, 0.9734676987345701
1.0006949270326617, 45.0, 5.0, 0.0, 145.0, 83.0, 12.0, 31.0, 4.0, 5.0, 10.0, 1.0, 97.0, 2.0, 3.0, 31.0, 34.0, 20.0, 15.0, 31.0, 0.9820628214792557
1.1007644197359279, 44.0, 5.0, 0.0, 149.0, 84.0, 12.0, 29.0, 4.0, 5.0, 16.0, 1.0, 98.0, 2.0, 3.0, 30.0, 32.0, 19.0, 14.0, 26.0, 0.9879081454970784
1.200833912439194, 42.0, 5.0, 0.0, 151.0, 89.0, 12.0, 26.0, 5.0, 5.0, 18.0, 1.0, 99.0, 2.0, 3.0, 30.0, 30.0, 19.0, 13.0, 32.0, 0.9918643898219871
1.3009034051424602, 40.0, 5.0, 0.0, 158.0, 95.0, 12.0, 22.0, 6.0, 5.0, 21.0, 1.0, 100.0, 2.0, 3.0, 28.0, 30.0, 17.0, 14.0, 35.0, 0.9945333825431633
1.4009728978457263, 39.0, 5.0, 0.0, 162.0, 97.0, 12.0, 21.0, 6.0, 4.0, 24.0, 1.0, 103.0, 2.0, 3.0, 24.0, 30.0, 18.0, 14.0, 37.0, 0.9963300172786766
1.5010423905489925, 37.0, 5.0, 2.0, 165.0, 103.0, 13.0, 19.0, 5.0, 5.0, 30.0, 1.0, 105.0, 2.0, 3.0, 24.0, 28.0, 18.0, 15.0, 36.0, 0.9975376398021798
1.6011118832522586, 38.0, 3.0, 0.0, 168.0, 105.0, 14.0, 17.0, 5.0, 6.0, 30.0, 1.0, 105.0, 2.0, 3.0, 24.0, 26.0, 17.0, 15.0, 36.0, 0.9983485479540277
1.7011813759555248, 38.0, 3.0, 0.0, 164.0, 105.0, 15.0, 17.0, 5.0, 6.0, 29.0, 1.0, 101.0, 2.0, 3.0, 24.0, 25.0, 17.0, 16.0, 37.0, 0.9988927030506266
1.801250868658791, 38.0, 3.0, 0.0, 166.0, 110.0, 15.0, 17.0, 7.0, 5.0, 31.0, 1.0, 101.0, 2.0, 3.0, 23.0, 23.0, 18.0, 15.0, 36.0, 0.9992576918158196
1.901320361362057, 38.0, 3.0, 0.0, 161.0, 122.0, 15.0, 16.0, 7.0, 5.0, 34.0, 1.0, 99.0, 2.0, 3.0, 22.0, 22.0, 18.0, 15.0, 31.0, 0.9995024324028231
2.0013898540653234, 38.0, 3.0, 0.0, 158.0, 125.0, 17.0, 15.0, 7.0, 5.0, 33.0, 1.0, 88.0, 2.0, 3.0, 21.0, 22.0, 18.0, 14.0, 29.0, 0.9996665084277205
2.1014593467685896, 36.0, 3.0, 0.0, 150.0, 128.0, 16.0, 13.0, 7.0, 5.0, 36.0, 1.0, 87.0, 2.0, 3.0, 21.0, 22.0, 16.0, 13.0, 26.0, 0.9997764914569266
2.2015288394718557, 36.0, 1.0, 0.0, 149.0, 134.0, 15.0, 12.0, 5.0, 5.0, 37.0, 1.0, 79.0, 2.0, 3.0, 20.0, 23.0, 14.0, 14.0, 28.0, 0.999850208339716
2.301598332175122, 36.0, 1.0, 0.0, 151.0, 140.0, 14.0, 12.0, 4.0, 5.0, 40.0, 1.0, 70.0, 2.0, 3.0, 19.0, 23.0, 14.0, 14.0, 30.0, 0.9998996145939305
2.401667824878388, 35.0, 1.0, 0.0, 156.0, 139.0, 14.0, 11.0, 4.0, 5.0, 41.0, 1.0, 63.0, 2.0, 3.0, 19.0, 22.0, 12.0, 15.0, 37.0, 0.9999327261244452
2.501737317581654, 35.0, 1.0, 0.0, 153.0, 136.0, 15.0, 7.0, 4.0, 5.0, 41.0, 1.0, 62.0, 2.0, 3.0, 19.0, 22.0, 12.0, 16.0, 38.0, 0.9999549165055355
2.6018068102849203, 33.0, 1.0, 0.0, 149.0, 137.0, 17.0, 6.0, 4.0, 5.0, 42.0, 1.0, 54.0, 2.0, 2.0, 17.0, 22.0, 13.0, 16.0, 38.0, 0.9999697875798237
2.7018763029881865, 33.0, 1.0, 0.0, 147.0, 140.0, 17.0, 6.0, 4.0, 5.0, 48.0, 1.0, 55.0, 1.0, 2.0, 17.0, 20.0, 14.0, 16.0, 37.0, 0.9999797534360182
2.8019457956914526, 33.0, 1.0, 0.0, 143.0, 148.0, 17.0, 6.0, 4.0, 5.0, 51.0, 1.0, 50.0, 1.0, 2.0, 16.0, 21.0, 13.0, 16.0, 36.0, 0.9999864320036896
2.902015288394719, 31.0, 1.0, 1.0, 139.0, 151.0, 18.0, 6.0, 5.0, 4.0, 50.0, 1.0, 51.0, 1.0, 2.0, 15.0, 21.0, 11.0, 16.0, 37.0, 0.9999909075871596
3.002084781097985, 32.0, 1.0, 0.0, 137.0, 152.0, 18.0, 6.0, 5.0, 4.0, 59.0, 1.0, 51.0, 1.0, 2.0, 15.0, 21.0, 13.0, 16.0, 35.0, 0.9999939068490795
3.102154273801251, 32.0, 1.0, 0.0, 141.0, 156.0, 18.0, 6.0, 5.0, 4.0, 60.0, 1.0, 48.0, 1.0, 2.0, 15.0, 22.0, 11.0, 16.0, 35.0, 0.9999959167657627
3.2022237665045172, 32.0, 1.0, 0.0, 147.0, 156.0, 19.0, 5.0, 5.0, 4.0, 67.0, 1.0, 49.0, 1.0, 2.0, 14.0, 21.0, 10.0, 16.0, 34.0, 0.9999972636832732
3.3022932592077834, 30.0, 1.0, 0.0, 149.0, 154.0, 18.0, 4.0, 4.0, 2.0, 70.0, 1.0, 43.0, 1.0, 1.0, 14.0, 21.0, 10.0, 16.0, 29.0, 0.9999981663001755
3.4023627519110495, 30.0, 1.0, 0.0, 150.0, 160.0, 18.0, 4.0, 4.0, 2.0, 74.0, 1.0, 37.0, 1.0, 1.0, 14.0, 21.0, 9.0, 17.0, 31.0, 0.9999987711751301
3.5024322446143157, 30.0, 1.0, 0.0, 153.0, 167.0, 17.0, 4.0, 4.0, 2.0, 72.0, 1.0, 38.0, 1.0, 1.0, 13.0, 21.0, 8.0, 18.0, 31.0, 0.9999991765226561
3.602501737317582, 30.0, 1.0, 0.0, 153.0, 168.0, 18.0, 4.0, 4.0, 2.0, 77.0, 1.0, 38.0, 1.0, 1.0, 13.0, 21.0, 6.0, 18.0, 30.0, 0.9999994481598944
3.702571230020848, 29.0, 1.0, 0.0, 153.0, 165.0, 21.0, 3.0, 4.0, 2.0, 75.0, 1.0, 37.0, 1.0, 1.0, 13.0, 21.0, 7.0, 18.0, 28.0, 0.9999996301932554
3.802640722724114, 28.0, 1.0, 0.0, 153.0, 162.0, 21.0, 2.0, 3.0, 2.0, 77.0, 1.0, 35.0, 1.0, 1.0, 11.0, 21.0, 8.0, 17.0, 28.0, 0.9999997521799888
3.9027102154273803, 28.0, 1.0, 0.0, 148.0, 164.0, 22.0, 2.0, 4.0, 2.0, 81.0, 1.0, 34.0, 1.0, 1.0, 11.0, 21.0, 8.0, 16.0, 25.0, 0.9999998339274301
4.002779708130647, 28.0, 1.0, 0.0, 146.0, 162.0, 21.0, 1.0, 4.0, 2.0, 84.0, 1.0, 31.0, 1.0, 1.0, 11.0, 20.0, 7.0, 15.0, 27.0, 0.9999998887091539
4.102849200833913, 27.0, 1.0, 0.0, 145.0, 163.0, 20.0, 1.0, 5.0, 2.0, 90.0, 1.0, 30.0, 1.0, 1.0, 11.0, 20.0, 7.0, 15.0, 30.0, 0.9999999254202356
4.202918693537179, 27.0, 1.0, 0.0, 148.0, 167.0, 20.0, 1.0, 6.0, 2.0, 90.0, 1.0, 29.0, 1.0, 1.0, 11.0, 20.0, 7.0, 15.0, 31.0, 0.9999999500215665
4.302988186240445, 27.0, 1.0, 0.0, 153.0, 170.0, 21.0, 1.0, 7.0, 2.0, 89.0, 1.0, 28.0, 1.0, 1.0, 11.0, 19.0, 7.0, 15.0, 28.0, 0.9999999665077413
4.4030576789437115, 27.0, 1.0, 0.0, 155.0, 173.0, 21.0, 1.0, 8.0, 2.0, 95.0, 1.0, 27.0, 1.0, 1.0, 10.0, 19.0, 7.0, 16.0, 26.0, 0.999999977555672
4.503127171646978, 26.0, 0.0, 0.0, 149.0, 173.0, 20.0, 1.0, 8.0, 2.0, 98.0, 1.0, 26.0, 1.0, 1.0, 10.0, 18.0, 9.0, 17.0, 28.0, 0.9999999849592462
4.603196664350244, 25.0, 0.0, 0.0, 150.0, 172.0, 20.0, 1.0, 8.0, 2.0, 100.0, 1.0, 30.0, 1.0, 1.0, 10.0, 18.0, 9.0, 17.0, 29.0, 0.9999999899206053
4.70326615705351, 24.0, 0.0, 0.0, 154.0, 171.0, 21.0, 1.0, 7.0, 2.0, 100.0, 1.0, 28.0, 1.0, 1.0, 10.0, 18.0, 7.0, 17.0, 32.0, 0.9999999932453414
4.803335649756776, 24.0, 0.0, 0.0, 154.0, 172.0, 20.0, 1.0, 8.0, 2.0, 99.0, 1.0, 26.0, 1.0, 1.0, 10.0, 18.0, 9.0, 17.0, 31.0, 0.9999999954733019
4.903405142460042, 23.0, 0.0, 0.0, 149.0, 175.0, 20.0, 1.0, 8.0, 2.0, 100.0, 1.0, 25.0, 1.0, 1.0, 10.0, 18.0, 9.0, 17.0, 30.0, 0.999999996966248
5.003474635163308, 23.0, 0.0, 0.0, 149.0, 181.0, 19.0, 1.0, 8.0, 2.0, 104.0, 1.0, 23.0, 1.0, 1.0, 10.0, 17.0, 8.0, 17.0, 29.0, 0.9999999979665942
5.1035441278665745, 23.0, 0.0, 0.0, 147.0, 186.0, 17.0, 1.0, 7.0, 2.0, 101.0, 1.0, 22.0, 1.0, 1.0, 10.0, 17.0, 10.0, 17.0, 31.0, 0.9999999986367698
5.203613620569841, 23.0, 0.0, 0.0, 148.0, 187.0, 18.0, 1.0, 8.0, 2.0, 98.0, 1.0, 20.0, 1.0, 1.0, 10.0, 16.0, 9.0, 18.0, 30.0, 0.9999999990855932
5.303683113273107, 23.0, 0.0, 0.0, 135.0, 193.0, 19.0, 1.0, 8.0, 2.0, 101.0, 1.0, 19.0, 1.0, 1.0, 9.0, 15.0, 8.0, 17.0, 30.0, 0.9999999993859416
5.403752605976373, 23.0, 0.0, 0.0, 134.0, 192.0, 20.0, 1.0, 8.0, 2.0, 100.0, 1.0, 17.0, 1.0, 1.0, 9.0, 15.0, 7.0, 17.0, 32.0, 0.9999999995865836
5.503822098679639, 22.0, 0.0, 0.0, 129.0, 192.0, 20.0, 1.0, 9.0, 3.0, 104.0, 1.0, 17.0, 1.0, 1.0, 9.0, 15.0, 7.0, 17.0, 32.0, 0.9999999997200977
5.603891591382905, 21.0, 0.0, 0.0, 121.0, 190.0, 23.0, 1.0, 9.0, 3.0, 102.0, 1.0, 16.0, 0.0, 2.0, 9.0, 15.0, 8.0, 17.0, 32.0, 0.999999999808163
5.703961084086171, 19.0, 0.0, 0.0, 121.0, 191.0, 23.0, 1.0, 9.0, 3.0, 102.0, 1.0, 15.0, 0.0, 2.0, 9.0, 14.0, 8.0, 17.0, 33.0, 0.9999999998650793
5.804030576789438, 19.0, 0.0, 0.0, 115.0, 189.0, 23.0, 1.0, 10.0, 3.0, 99.0, 1.0, 16.0, 0.0, 2.0, 9.0, 14.0, 8.0, 14.0, 35.0, 0.9999999999000881
5.904100069492704, 19.0, 0.0, 0.0, 110.0, 183.0, 24.0, 1.0, 10.0, 3.0, 100.0, 1.0, 16.0, 0.0, 2.0, 9.0, 14.0, 11.0, 15.0, 37.0, 0.9999999999188738
