# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 1.149999976158142
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 35.0, 24.0, 10.0, 98.0, 43.0, 5.0, 78.0, 4.0, 4.0, 5.0, 1.0, 46.0, 3.0, 5.0, 37.0, 40.0, 10.0, 10.0, 30.0, 0.5987544437548351
0.20013898540653233, 39.0, 26.0, 6.0, 91.0, 42.0, 6.0, 72.0, 4.0, 4.0, 4.0, 1.0, 56.0, 3.0, 5.0, 34.0, 39.0, 14.0, 10.0, 28.0, 0.6900933898705643
0.3002084781097985, 38.0, 26.0, 4.0, 87.0, 46.0, 6.0, 69.0, 4.0, 4.0, 5.0, 1.0, 66.0, 2.0, 6.0, 33.0, 40.0, 16.0, 9.0, 29.0, 0.7686730986656962
0.40027797081306465, 40.0, 28.0, 2.0, 83.0, 52.0, 6.0, 62.0, 4.0, 3.0, 7.0, 1.0, 82.0, 2.0, 5.0, 32.0, 39.0, 18.0, 9.0, 31.0, 0.8321737287898963
0.5003474635163309, 41.0, 30.0, 0.0, 79.0, 55.0, 7.0, 58.0, 4.0, 3.0, 8.0, 1.0, 77.0, 2.0, 5.0, 31.0, 41.0, 21.0, 9.0, 36.0, 0.8809429265252215
0.600416956219597, 41.0, 29.0, 0.0, 77.0, 54.0, 8.0, 51.0, 4.0, 3.0, 8.0, 1.0, 91.0, 2.0, 5.0, 30.0, 41.0, 26.0, 9.0, 36.0, 0.9169543951076983
0.7004864489228632, 42.0, 28.0, 1.0, 74.0, 52.0, 8.0, 47.0, 4.0, 4.0, 9.0, 1.0, 99.0, 2.0, 5.0, 30.0, 39.0, 28.0, 9.0, 32.0, 0.942780880707639
0.8005559416261293, 43.0, 28.0, 1.0, 70.0, 55.0, 9.0, 40.0, 4.0, 4.0, 11.0, 1.0, 105.0, 2.0, 5.0, 30.0, 37.0, 29.0, 12.0, 29.0, 0.960917875765303
0.9006254343293955, 43.0, 30.0, 2.0, 67.0, 62.0, 11.0, 35.0, 3.0, 4.0, 12.0, 1.0, 107.0, 2.0, 5.0, 28.0, 37.0, 31.0, 13.0, 26.0, 0.9734676987345701
1.0006949270326617, 44.0, 28.0, 1.0, 64.0, 62.0, 13.0, 31.0, 3.0, 4.0, 12.0, 0.0, 105.0, 2.0, 6.0, 27.0, 35.0, 32.0, 16.0, 19.0, 0.9820628214792557
1.1007644197359279, 44.0, 28.0, 1.0, 59.0, 62.0, 14.0, 29.0, 3.0, 4.0, 15.0, 0.0, 101.0, 2.0, 6.0, 27.0, 33.0, 32.0, 17.0, 25.0, 0.9879081454970784
1.200833912439194, 46.0, 33.0, 1.0, 57.0, 59.0, 14.0, 23.0, 2.0, 4.0, 15.0, 0.0, 93.0, 2.0, 6.0, 25.0, 32.0, 35.0, 15.0, 24.0, 0.9918643898219871
1.3009034051424602, 43.0, 29.0, 1.0, 56.0, 57.0, 14.0, 22.0, 3.0, 4.0, 14.0, 0.0, 89.0, 2.0, 5.0, 25.0, 32.0, 33.0, 18.0, 25.0, 0.9945333825431633
1.4009728978457263, 42.0, 36.0, 1.0, 51.0, 59.0, 14.0, 22.0, 3.0, 4.0, 16.0, 0.0, 86.0, 2.0, 5.0, 25.0, 31.0, 33.0, 20.0, 26.0, 0.9963300172786766
1.5010423905489925, 42.0, 33.0, 0.0, 48.0, 61.0, 13.0, 19.0, 2.0, 3.0, 18.0, 0.0, 82.0, 2.0, 5.0, 25.0, 32.0, 34.0, 19.0, 28.0, 0.9975376398021798
1.6011118832522586, 41.0, 34.0, 0.0, 46.0, 62.0, 13.0, 16.0, 2.0, 3.0, 19.0, 0.0, 74.0, 2.0, 4.0, 24.0, 30.0, 34.0, 20.0, 29.0, 0.9983485479540277
1.7011813759555248, 41.0, 31.0, 0.0, 45.0, 59.0, 12.0, 16.0, 2.0, 3.0, 20.0, 0.0, 70.0, 2.0, 4.0, 24.0, 30.0, 30.0, 22.0, 30.0, 0.9988927030506266
1.801250868658791, 42.0, 32.0, 1.0, 44.0, 56.0, 13.0, 14.0, 2.0, 3.0, 22.0, 0.0, 68.0, 2.0, 4.0, 24.0, 28.0, 29.0, 22.0, 33.0, 0.9992576918158196
1.901320361362057, 45.0, 36.0, 1.0, 41.0, 57.0, 13.0, 12.0, 2.0, 3.0, 25.0, 0.0, 65.0, 2.0, 4.0, 24.0, 25.0, 26.0, 23.0, 31.0, 0.9995024324028231
2.0013898540653234, 46.0, 35.0, 1.0, 41.0, 57.0, 14.0, 11.0, 2.0, 3.0, 27.0, 0.0, 63.0, 2.0, 5.0, 23.0, 22.0, 25.0, 21.0, 27.0, 0.9996665084277205
2.1014593467685896, 45.0, 39.0, 0.0, 38.0, 57.0, 14.0, 10.0, 2.0, 3.0, 24.0, 0.0, 59.0, 2.0, 5.0, 23.0, 22.0, 23.0, 22.0, 29.0, 0.9997764914569266
2.2015288394718557, 44.0, 41.0, 0.0, 37.0, 55.0, 16.0, 10.0, 3.0, 3.0, 26.0, 0.0, 55.0, 2.0, 5.0, 23.0, 23.0, 20.0, 22.0, 31.0, 0.999850208339716
2.301598332175122, 42.0, 40.0, 1.0, 36.0, 56.0, 17.0, 9.0, 3.0, 3.0, 28.0, 0.0, 51.0, 2.0, 5.0, 23.0, 23.0, 17.0, 21.0, 31.0, 0.9998996145939305
2.401667824878388, 43.0, 45.0, 1.0, 35.0, 54.0, 20.0, 8.0, 3.0, 3.0, 30.0, 0.0, 41.0, 2.0, 5.0, 22.0, 24.0, 15.0, 21.0, 30.0, 0.9999327261244452
2.501737317581654, 43.0, 47.0, 1.0, 32.0, 51.0, 19.0, 8.0, 3.0, 3.0, 31.0, 0.0, 42.0, 2.0, 5.0, 22.0, 24.0, 16.0, 22.0, 32.0, 0.9999549165055355
2.6018068102849203, 44.0, 47.0, 0.0, 31.0, 51.0, 20.0, 7.0, 3.0, 3.0, 36.0, 0.0, 42.0, 2.0, 5.0, 22.0, 24.0, 15.0, 23.0, 33.0, 0.9999697875798237
2.7018763029881865, 43.0, 50.0, 4.0, 28.0, 50.0, 20.0, 7.0, 3.0, 3.0, 38.0, 0.0, 44.0, 2.0, 4.0, 21.0, 24.0, 16.0, 22.0, 32.0, 0.9999797534360182
2.8019457956914526, 45.0, 52.0, 3.0, 26.0, 50.0, 19.0, 7.0, 3.0, 3.0, 41.0, 0.0, 45.0, 2.0, 4.0, 21.0, 24.0, 14.0, 21.0, 31.0, 0.9999864320036896
2.902015288394719, 44.0, 54.0, 6.0, 23.0, 51.0, 19.0, 6.0, 3.0, 3.0, 43.0, 0.0, 44.0, 2.0, 4.0, 20.0, 24.0, 18.0, 21.0, 32.0, 0.9999909075871596
3.002084781097985, 46.0, 47.0, 3.0, 23.0, 49.0, 18.0, 6.0, 3.0, 3.0, 45.0, 0.0, 39.0, 2.0, 4.0, 20.0, 24.0, 15.0, 21.0, 28.0, 0.9999939068490795
3.102154273801251, 46.0, 47.0, 2.0, 21.0, 50.0, 18.0, 6.0, 2.0, 3.0, 47.0, 0.0, 42.0, 2.0, 5.0, 19.0, 24.0, 14.0, 21.0, 26.0, 0.9999959167657627
3.2022237665045172, 46.0, 44.0, 4.0, 21.0, 50.0, 19.0, 4.0, 2.0, 3.0, 51.0, 0.0, 39.0, 2.0, 5.0, 19.0, 24.0, 15.0, 20.0, 23.0, 0.9999972636832732
3.3022932592077834, 47.0, 44.0, 2.0, 20.0, 47.0, 21.0, 4.0, 2.0, 3.0, 49.0, 0.0, 36.0, 2.0, 4.0, 19.0, 24.0, 17.0, 20.0, 25.0, 0.9999981663001755
