# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 1.5049999952316284
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 36.0, 15.0, 7.0, 103.0, 43.0, 5.0, 79.0, 4.0, 4.0, 7.0, 1.0, 41.0, 6.0, 4.0, 39.0, 40.0, 9.0, 10.0, 26.0, 0.5987544437548351
0.20013898540653233, 39.0, 17.0, 5.0, 103.0, 42.0, 5.0, 76.0, 4.0, 4.0, 9.0, 1.0, 55.0, 8.0, 3.0, 39.0, 38.0, 10.0, 11.0, 25.0, 0.6900933898705643
0.3002084781097985, 39.0, 17.0, 4.0, 104.0, 43.0, 5.0, 70.0, 4.0, 4.0, 10.0, 1.0, 73.0, 10.0, 3.0, 39.0, 34.0, 12.0, 12.0, 21.0, 0.7686730986656962
0.40027797081306465, 40.0, 21.0, 2.0, 105.0, 46.0, 5.0, 63.0, 4.0, 4.0, 10.0, 1.0, 72.0, 11.0, 1.0, 37.0, 32.0, 14.0, 14.0, 19.0, 0.8321737287898963
0.5003474635163309, 40.0, 22.0, 3.0, 106.0, 53.0, 5.0, 55.0, 4.0, 4.0, 13.0, 1.0, 77.0, 16.0, 1.0, 36.0, 30.0, 17.0, 14.0, 26.0, 0.8809429265252215
0.600416956219597, 41.0, 24.0, 2.0, 103.0, 53.0, 5.0, 50.0, 4.0, 5.0, 12.0, 1.0, 83.0, 18.0, 1.0, 36.0, 30.0, 19.0, 13.0, 21.0, 0.9169543951076983
0.7004864489228632, 41.0, 29.0, 2.0, 100.0, 54.0, 6.0, 46.0, 4.0, 4.0, 14.0, 1.0, 87.0, 24.0, 1.0, 36.0, 29.0, 16.0, 11.0, 24.0, 0.942780880707639
0.8005559416261293, 41.0, 35.0, 1.0, 97.0, 57.0, 7.0, 41.0, 4.0, 4.0, 16.0, 1.0, 94.0, 29.0, 1.0, 35.0, 29.0, 16.0, 14.0, 22.0, 0.960917875765303
0.9006254343293955, 41.0, 36.0, 1.0, 94.0, 61.0, 7.0, 39.0, 4.0, 4.0, 18.0, 1.0, 96.0, 39.0, 1.0, 35.0, 27.0, 16.0, 13.0, 19.0, 0.9734676987345701
1.0006949270326617, 40.0, 34.0, 4.0, 89.0, 62.0, 7.0, 34.0, 4.0, 4.0, 21.0, 1.0, 97.0, 46.0, 1.0, 35.0, 27.0, 18.0, 13.0, 24.0, 0.9820628214792557
1.1007644197359279, 42.0, 38.0, 3.0, 87.0, 66.0, 7.0, 33.0, 4.0, 4.0, 22.0, 2.0, 95.0, 52.0, 1.0, 32.0, 26.0, 17.0, 12.0, 20.0, 0.9879081454970784
1.200833912439194, 45.0, 33.0, 2.0, 83.0, 70.0, 7.0, 32.0, 4.0, 4.0, 23.0, 2.0, 87.0, 56.0, 1.0, 31.0, 26.0, 19.0, 12.0, 19.0, 0.9918643898219871
1.3009034051424602, 47.0, 33.0, 0.0, 81.0, 70.0, 8.0, 28.0, 4.0, 4.0, 24.0, 2.0, 86.0, 58.0, 1.0, 30.0, 25.0, 17.0, 12.0, 17.0, 0.9945333825431633
1.4009728978457263, 46.0, 31.0, 0.0, 75.0, 70.0, 9.0, 24.0, 4.0, 5.0, 27.0, 3.0, 83.0, 61.0, 1.0, 27.0, 25.0, 15.0, 12.0, 17.0, 0.9963300172786766
1.5010423905489925, 46.0, 29.0, 1.0, 73.0, 70.0, 10.0, 18.0, 3.0, 5.0, 29.0, 7.0, 83.0, 67.0, 1.0, 26.0, 25.0, 15.0, 12.0, 20.0, 0.9975376398021798
1.6011118832522586, 48.0, 29.0, 0.0, 70.0, 70.0, 11.0, 14.0, 3.0, 5.0, 32.0, 9.0, 80.0, 65.0, 1.0, 26.0, 26.0, 12.0, 11.0, 20.0, 0.9983485479540277
1.7011813759555248, 48.0, 26.0, 1.0, 64.0, 69.0, 12.0, 12.0, 3.0, 6.0, 31.0, 11.0, 81.0, 66.0, 1.0, 25.0, 26.0, 10.0, 11.0, 22.0, 0.9988927030506266
1.801250868658791, 48.0, 29.0, 0.0, 58.0, 68.0, 13.0, 12.0, 3.0, 5.0, 35.0, 13.0, 80.0, 69.0, 1.0, 24.0, 26.0, 13.0, 12.0, 20.0, 0.9992576918158196
