# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 1.5180000066757202
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 34.0, 11.0, 7.0, 107.0, 41.0, 5.0, 77.0, 4.0, 4.0, 7.0, 1.0, 44.0, 4.0, 5.0, 39.0, 39.0, 11.0, 10.0, 33.0, 0.5987544437548351
0.20013898540653233, 36.0, 16.0, 4.0, 117.0, 47.0, 6.0, 76.0, 4.0, 4.0, 7.0, 1.0, 51.0, 8.0, 5.0, 38.0, 39.0, 11.0, 11.0, 32.0, 0.6900933898705643
0.3002084781097985, 36.0, 20.0, 3.0, 111.0, 47.0, 7.0, 68.0, 4.0, 4.0, 8.0, 1.0, 60.0, 12.0, 5.0, 35.0, 39.0, 16.0, 11.0, 35.0, 0.7686730986656962
0.40027797081306465, 38.0, 24.0, 2.0, 119.0, 51.0, 8.0, 59.0, 5.0, 4.0, 9.0, 2.0, 71.0, 16.0, 5.0, 35.0, 36.0, 17.0, 11.0, 36.0, 0.8321737287898963
0.5003474635163309, 38.0, 30.0, 1.0, 118.0, 51.0, 8.0, 52.0, 5.0, 4.0, 12.0, 2.0, 81.0, 20.0, 5.0, 35.0, 36.0, 17.0, 13.0, 39.0, 0.8809429265252215
0.600416956219597, 38.0, 33.0, 1.0, 114.0, 58.0, 8.0, 50.0, 5.0, 5.0, 14.0, 3.0, 82.0, 24.0, 5.0, 33.0, 35.0, 17.0, 13.0, 40.0, 0.9169543951076983
0.7004864489228632, 38.0, 30.0, 1.0, 111.0, 61.0, 8.0, 43.0, 5.0, 6.0, 15.0, 3.0, 79.0, 27.0, 5.0, 30.0, 34.0, 16.0, 13.0, 41.0, 0.942780880707639
0.8005559416261293, 38.0, 32.0, 0.0, 111.0, 66.0, 8.0, 41.0, 4.0, 6.0, 15.0, 4.0, 86.0, 33.0, 5.0, 28.0, 33.0, 19.0, 14.0, 37.0, 0.960917875765303
0.9006254343293955, 38.0, 34.0, 0.0, 104.0, 70.0, 8.0, 39.0, 5.0, 6.0, 16.0, 5.0, 87.0, 38.0, 5.0, 28.0, 33.0, 22.0, 15.0, 36.0, 0.9734676987345701
1.0006949270326617, 38.0, 35.0, 0.0, 101.0, 71.0, 9.0, 36.0, 5.0, 6.0, 16.0, 7.0, 84.0, 44.0, 5.0, 28.0, 33.0, 27.0, 15.0, 34.0, 0.9820628214792557
1.1007644197359279, 37.0, 36.0, 0.0, 95.0, 72.0, 10.0, 33.0, 5.0, 5.0, 18.0, 7.0, 84.0, 49.0, 5.0, 26.0, 32.0, 27.0, 14.0, 37.0, 0.9879081454970784
1.200833912439194, 37.0, 33.0, 1.0, 88.0, 76.0, 11.0, 30.0, 5.0, 5.0, 20.0, 7.0, 87.0, 54.0, 5.0, 24.0, 32.0, 27.0, 14.0, 38.0, 0.9918643898219871
1.3009034051424602, 38.0, 33.0, 1.0, 83.0, 80.0, 12.0, 27.0, 6.0, 5.0, 21.0, 8.0, 83.0, 60.0, 4.0, 23.0, 32.0, 25.0, 17.0, 36.0, 0.9945333825431633
1.4009728978457263, 38.0, 31.0, 0.0, 79.0, 77.0, 13.0, 21.0, 6.0, 5.0, 28.0, 9.0, 80.0, 64.0, 4.0, 23.0, 31.0, 27.0, 15.0, 33.0, 0.9963300172786766
1.5010423905489925, 37.0, 35.0, 1.0, 71.0, 78.0, 13.0, 21.0, 7.0, 5.0, 33.0, 10.0, 80.0, 64.0, 4.0, 23.0, 30.0, 24.0, 17.0, 33.0, 0.9975376398021798
