# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 1.4570000171661377
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 32.0, 13.0, 7.0, 99.0, 44.0, 5.0, 75.0, 4.0, 4.0, 9.0, 1.0, 47.0, 9.0, 5.0, 38.0, 39.0, 10.0, 12.0, 29.0, 0.5987544437548351
0.20013898540653233, 35.0, 16.0, 3.0, 98.0, 42.0, 7.0, 74.0, 4.0, 4.0, 10.0, 2.0, 52.0, 11.0, 5.0, 37.0, 40.0, 12.0, 12.0, 32.0, 0.6900933898705643
0.3002084781097985, 35.0, 20.0, 3.0, 101.0, 44.0, 8.0, 69.0, 4.0, 4.0, 9.0, 2.0, 64.0, 11.0, 6.0, 36.0, 39.0, 16.0, 14.0, 31.0, 0.7686730986656962
0.40027797081306465, 34.0, 26.0, 2.0, 101.0, 48.0, 9.0, 67.0, 4.0, 4.0, 11.0, 2.0, 78.0, 16.0, 6.0, 34.0, 38.0, 17.0, 13.0, 31.0, 0.8321737287898963
0.5003474635163309, 36.0, 29.0, 0.0, 97.0, 49.0, 9.0, 61.0, 4.0, 4.0, 13.0, 2.0, 89.0, 23.0, 6.0, 33.0, 38.0, 16.0, 13.0, 26.0, 0.8809429265252215
0.600416956219597, 36.0, 35.0, 0.0, 94.0, 52.0, 9.0, 49.0, 4.0, 4.0, 14.0, 5.0, 92.0, 26.0, 6.0, 32.0, 39.0, 24.0, 13.0, 23.0, 0.9169543951076983
0.7004864489228632, 35.0, 39.0, 1.0, 96.0, 54.0, 11.0, 44.0, 4.0, 4.0, 16.0, 5.0, 106.0, 29.0, 7.0, 32.0, 39.0, 24.0, 14.0, 25.0, 0.942780880707639
0.8005559416261293, 35.0, 38.0, 1.0, 93.0, 55.0, 12.0, 39.0, 4.0, 4.0, 18.0, 5.0, 110.0, 35.0, 7.0, 31.0, 36.0, 26.0, 14.0, 23.0, 0.960917875765303
0.9006254343293955, 36.0, 45.0, 3.0, 91.0, 56.0, 10.0, 36.0, 4.0, 4.0, 18.0, 4.0, 110.0, 37.0, 7.0, 31.0, 35.0, 26.0, 14.0, 23.0, 0.9734676987345701
