# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Stop time: 144.0
# Number of independent replications: 1
# Start time: 0.0
# Model Parameters
# Run time = 1.3270000219345093
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
0.0, 32.0, 11.0, 11.0, 100.0, 41.0, 5.0, 82.0, 4.0, 4.0, 5.0, 1.0, 35.0, 5.0, 5.0, 39.0, 39.0, 9.0, 10.0, 32.0, 0.5
0.10006949270326616, 34.0, 13.0, 9.0, 93.0, 43.0, 5.0, 78.0, 3.0, 2.0, 5.0, 1.0, 43.0, 6.0, 5.0, 38.0, 39.0, 12.0, 11.0, 29.0, 0.5987544437548351
0.20013898540653233, 40.0, 15.0, 3.0, 92.0, 41.0, 6.0, 71.0, 3.0, 3.0, 6.0, 1.0, 56.0, 14.0, 5.0, 37.0, 39.0, 15.0, 13.0, 22.0, 0.6900933898705643
0.3002084781097985, 38.0, 22.0, 1.0, 88.0, 42.0, 7.0, 64.0, 3.0, 3.0, 7.0, 1.0, 59.0, 19.0, 5.0, 37.0, 36.0, 22.0, 14.0, 18.0, 0.7686730986656962
0.40027797081306465, 37.0, 28.0, 1.0, 83.0, 41.0, 9.0, 60.0, 2.0, 3.0, 8.0, 0.0, 67.0, 15.0, 7.0, 35.0, 36.0, 21.0, 15.0, 18.0, 0.8321737287898963
0.5003474635163309, 38.0, 29.0, 1.0, 78.0, 44.0, 7.0, 52.0, 2.0, 3.0, 10.0, 1.0, 74.0, 20.0, 6.0, 34.0, 37.0, 23.0, 17.0, 24.0, 0.8809429265252215
0.600416956219597, 37.0, 36.0, 1.0, 73.0, 44.0, 8.0, 47.0, 2.0, 4.0, 13.0, 1.0, 74.0, 29.0, 7.0, 34.0, 35.0, 20.0, 16.0, 26.0, 0.9169543951076983
0.7004864489228632, 36.0, 35.0, 1.0, 70.0, 44.0, 9.0, 42.0, 2.0, 4.0, 13.0, 2.0, 76.0, 31.0, 7.0, 33.0, 35.0, 19.0, 16.0, 29.0, 0.942780880707639
0.8005559416261293, 36.0, 34.0, 1.0, 69.0, 42.0, 10.0, 39.0, 2.0, 3.0, 14.0, 3.0, 82.0, 36.0, 8.0, 33.0, 35.0, 20.0, 15.0, 25.0, 0.960917875765303
0.9006254343293955, 36.0, 40.0, 1.0, 64.0, 41.0, 12.0, 33.0, 2.0, 3.0, 13.0, 3.0, 88.0, 39.0, 8.0, 32.0, 36.0, 20.0, 15.0, 26.0, 0.9734676987345701
