"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.025566,0.025246,0.45569,0.5694,0.82272,2.7839,1.1662,2.6298,1.0271,1.578,1.84,2.3693,0.37462,2.9802,2.4,1.0407,0.70478
0,0.060961,0,2.5968,1.2825,1.0126,0.98304,0.72886,2.1133,1.1099,1.9089,4.8332,1.3635,0.65922,2.2252,2.8651,1.1378,1.2036
0,0.017447,0.03684,2.5679,2.2332,0.94929,0,0.29154,2.1717,1.4412,0.73248,2.0702,1.9934,0.54279,3.3324,3.4832,0.58277,1.0518
0,0.035603,0.023104,2.4521,2.4181,2.1517,0,1.312,2.5512,2.1244,3.0932,1.1492,3.2509,0.41343,1.0577,2.1478,0.36076,0.71563
0,0.019678,0.081326,2.3653,2.6294,2.2783,0,2.0408,3.4219,2.2072,2.2651,1.0111,3.3337,0.25819,2.635,4.9325,0.30526,0.43371
0,0.049585,0.075473,2.3653,2.5765,2.7846,0,1.6035,4.0997,2.4557,1.4367,1.0111,2.695,0.18057,2.4128,2.7766,0.15263,0.33613
0,0.042437,0.040546,1.9313,2.7086,2.8479,0.071413,1.312,1.9507,2.5799,2.7939,1.4255,2.9313,0.12882,3.36,0.73784,0.111,0.19517
0,0.045049,0.1282,1.3816,2.1012,3.3542,0.00084768,2.4781,1.3442,2.7248,2.4484,1.1032,1.9824,0.10295,3.5518,2.2585,0.055502,0.0759
0,0.026816,0.064533,0.91863,1.573,3.1643,5.6577e-07,3.4985,2.873,2.7456,2.8788,0.87292,3.2285,0.10295,1.4453,0.90406,0.20813,0.0759
0,0,0.0060917,0.57142,1.2032,2.5314,4.4555e-10,2.7697,1.8827,2.4971,0,0.68872,2.7919,0.10295,2.37,1.2385,0.20813,0.14096
0,0.040805,0.080419,0.36889,0.85991,2.4049,7.1919e-07,1.7493,1.6308,2.2693,2.2206,0.82687,2.7966,0.10295,2.3002,4.1745,0.33301,0.19517
0,0.051356,0.025586,0.19529,0.62222,1.6454,0.002202,1.0204,3.9812,1.6068,1.227,0.41243,2.791,0.25819,2.9303,1.8416,0.74927,0.52045
0,0.014819,0.013938,0.62929,0.35812,1.0759,2.915,1.0204,2.3821,0.92354,4.2568,1.4716,2.8071,0.46517,4.4155,2.577,1.2765,0.73731
0.35701,1.0378,0.3711,0.042156,0.023641,0,2.9197,0,1.1899,0.033235,2.7941,1.1032,1.6414,3.3371,1.5142,3.841,2.3449,2.3637
1.8125,3.9359,0.84379,0,0.0041417,0,1.1235,0,1.968,0.033235,0.58926,4.5109,2.3652,2.949,4.5731,1.2776,4.7038,3.0794
2.8286,4.6314,1.2114,0.021296,0.031518,0,0.14048,0,3.0829,0.033235,1.218,1.1953,2.1812,2.9878,4.9003,4.2199,4.5373,4.2287
3.8173,4.4769,1.5791,0.077404,0.0045005,0,0,0,2.9828,0.033235,3.7333,0.32033,3.2364,3.2724,2.4592,3.0695,4.9674,4.8034
4.5313,4.4576,1.5791,0.034116,0.062587,0,0,0,1.9763,0.033235,0.26012,0.090076,1.7241,3.4923,0,2.2212,4.5789,5.1937
5.0806,4.4576,2.3669,0.087922,0.020459,0,0,0,2.1097,0.033235,3.7239,0.090076,2.5153,3.557,3.9299,3.7517,4.5789,5.1829
5.4101,3.6847,2.577,0.072012,0.039868,0,0.035707,0,1.3764,0.033235,0.79796,0.13613,2.7865,3.5829,2.9482,4.1128,4.2181,4.7383
2.1695,0.5741,7.0937,0.040423,0,0,0.0010414,0,1.6446,0.033235,3.1102,0.18218,2.46,3.4276,3.1106,4.3985,1.9009,3.86
0.68656,0.091087,6.1483,0.063305,0.081602,0,5.7385e-07,0,2.2944,0.033235,1.4197,0.090076,1.6211,3.557,4.5444,1.0724,1.665,2.8733
0.10985,0.033125,5.0454,0.059908,0.024676,0,4.2434e-10,0,4.192,0.033235,1.1157,0.090076,2.6406,3.3241,1.6263,1.9467,1.7067,2.3963
0.027463,0.033125,3.2597,0.11106,0.04821,0,7.1137e-07,0,0.87217,0.033235,0.69598,0.090076,3.5704,2.8843,4.1744,4.1624,1.665,2.0927
0,0.033125,2.4194,0.029455,0.021869,0,0.0021785,0,0.003847,0.033235,1.2184,0.090076,2.9939,2.8584,4.1155,3.1247,1.665,2.1035
0.76895,0.86391,0.58118,0.09986,0.0046243,0,2.9853,0,0.56157,0.033235,2.064,1.7018,3.2633,3.0395,3.1027,2.5149,2.1784,1.9951
