"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.17235,0.51623,0.82963,0.75614,1.5949,2.7434,1.7684,2.8149,1.8725,2.8227,1.4217,2.7628,0.99621,0.8969,0.8105,1.4561,1.0976
0,0.16497,0.38005,2.4495,1.4333,1.9271,0.92203,1.7684,4.3002,1.9627,2.3883,4.2788,3.6772,1.4659,1.3129,0.64132,2.5886,2.3911
0,0.084325,0.47832,2.3884,1.6088,2.5252,0.070951,1.9452,3.4113,1.8499,2.8308,1.3249,2.9452,1.4072,1.2435,0.97969,0.72806,2.5871
0,0,0.68693,2.4801,2.1355,2.5252,0,2.2989,3.8463,1.9401,1.8267,0.5501,2.5514,1.0549,1.2435,1.1489,0.56627,1.9599
0,0.087154,0,2.4495,3.0133,2.7245,0,2.2989,3.7277,1.9627,3.5249,0.50167,1.1422,0.70264,1.1049,1.1489,0.44492,1.0584
0,0.092059,0.38521,2.2967,3.1637,3.3891,0,1.5915,2.9787,2.4139,1.8436,0.93749,3.4862,0.40907,1.0356,0.64132,0.24269,0.86236
0,0.12156,0.5933,2.0827,2.8377,3.3226,0.14427,3.5368,2.9668,2.7522,3.955,0.50167,5.5216,0.23293,0.96622,0.47214,0.12134,0.35278
0,0.14457,0.1929,1.3492,2.4364,2.8575,0.0010519,4.0673,4.464,2.7748,1.956,1.2765,3.8286,0.23293,0.4116,0.30295,0.040448,0.35278
0,0.10258,0.41003,0.67682,1.7342,2.9904,5.4699e-07,3.5368,1.8195,2.4364,0.71272,1.0343,1.561,0.17422,0.4116,0.30295,0.12134,0.23519
0,0.10175,0.46549,0.40174,1.1574,2.8575,4.4469e-10,2.6526,2.5896,2.4815,2.0129,0.7438,2.3659,0.23293,0.4116,0.30295,0.44492,0.23519
0,0.083127,0.6378,0.27949,0.65583,2.3923,7.0276e-07,2.4757,3.7045,2.256,1.5778,0.5501,2.4625,0.64393,0.34228,0.30295,1.8201,0.74477
0,0.0049937,0.21369,0.1878,0.43012,1.9271,0.0022478,3.3599,4.3763,1.6018,4.1069,0.3564,2.5421,1.6421,0.48093,0.30295,3.1954,1.9599
0,0.18206,0.28806,0.76851,0.27964,1.5284,2.8026,1.5915,5.8108,1.0153,4.1989,2.2934,3.1549,3.4035,1.8675,0.47214,2.6695,2.7831
0,0.71217,1.0515,0.028248,0.016189,0,2.7091,0,4.7711,0.022687,3.1971,1.5186,4.444,2.2879,1.9368,2.5023,1.5775,1.7639
0.89717,2.856,0.36441,0.042855,0.01325,0,0.85111,0,2.7885,0.022687,1.9439,3.6493,3.8975,3.6383,2.9767,1.9948,2.1033,1.9207
1.1364,2.0153,0.59345,0.11841,0,0,0.1419,0,4.1998,0.022687,2.0395,0.93749,3.5868,3.9906,4.086,3.0099,0.72806,1.6071
1.7345,2.1834,0.8225,0,0.028269,0,0,0,4.5246,0.022687,3.1127,0.1627,4.6896,3.4035,3.7393,2.3332,0.72806,1.4895
1.9738,2.7299,0.59345,0.07268,0.059157,0,0,0,1.9487,0.022687,1.4625,0.06585,2.2662,2.9925,3.3927,2.5023,0.40448,1.2151
2.7513,2.94,1.0515,0.076196,0.03963,0,0,0,1.867,0.022687,3.4117,0.06585,4.0425,2.6402,3.6007,3.3483,0.44492,0.82316
2.7513,2.1834,0.59345,0.066242,0.015794,0,0.2164,0,3.6567,0.022687,4.8413,0.1627,2.0942,2.4053,3.254,3.8558,0.68761,0.82316
1.3757,0.58607,3.8,0.11416,0.051288,0,0.0010764,0,3.1826,0.022687,0.15408,0.11428,5.0476,2.6989,1.7288,3.8558,0.76851,0.78397
0.59811,0.20776,4.0291,0.034403,0.01117,0,5.1433e-07,0,2.7545,0.022687,1.2866,0.06585,3.0659,2.3466,2.1448,4.025,1.2539,0.82316
0.23925,0.12369,3.8,0.05078,0.025382,0,3.9647e-10,0,3.0454,0.022687,3.718,0.06585,2.5729,2.1118,2.0061,4.3634,0.80895,1.3719
0.059811,0.12369,3.342,0.0319,0.041901,0,6.7907e-07,0,3.184,0.022687,2.9358,0.06585,4.4255,2.6989,2.4221,4.025,0.80895,1.1368
0,0.12369,2.4258,0.089481,0.082473,0,0.0022005,0,4.9004,0.022687,3.3466,0.06585,3.5287,2.5228,2.9074,4.7017,0.48537,0.97996
0.35887,0.75421,1.0515,0.041038,0.010006,0,2.909,0,4.8787,0.022687,2.7328,1.906,4.8441,2.2879,2.6994,3.6866,0.8494,0.97996
0.35887,1.9732,0.8225,0.73794,0.37996,0.99679,2.7091,1.4147,3.8025,1.2183,3.0154,1.4217,2.1758,0.10845,0.19285,0.22496,4.0852,3.5278
2.6915,6.0926,1.5096,2.5718,1.1323,1.1297,0.92203,0.35368,3.4593,0.94758,2.8806,3.7946,1.9021,0.015547,0.093212,0.34014,3.883,5.331
4.8447,3.4865,0.59345,2.9385,1.9349,1.8607,0.070951,0.70735,2.7095,1.286,1.2476,1.3733,3.5496,0.05471,0.23699,0.091114,1.7392,3.8806
5.1438,2.3515,1.0515,2.8774,2.2107,3.0568,0.070951,1.4147,4.2872,2.0078,2.8891,0.88907,2.8913,0.043395,0.16834,0.5348,0.8494,2.9791
3.8279,2.0153,0.36441,2.6023,2.3361,2.9904,0,2.1221,2.9859,2.8425,3.3567,0.88907,2.932,0,0.066679,0.27701,0.76851,2.2735
3.2896,1.2586,0.36441,2.5106,2.6872,3.2562,0,1.2379,5.0313,3.0906,2.0482,0.7438,4.1689,0.054998,0.081868,0.19243,0.44492,1.5287
2.3925,1.5949,0.36441,2.3272,2.4866,2.9904,0.1082,1.7684,1.9056,3.0681,2.5124,0.88907,3.5305,0.12371,0,0.36788,0.36403,1.1368
1.1962,0.3759,4.0291,1.2575,2.0853,2.791,0.00097855,1.4147,3.5076,3.0906,3.158,1.2765,2.9184,0.0063251,0.23478,0.22975,0.16179,0.78397
0.35887,0.20776,5.4033,0.64625,1.358,2.1929,5.8781e-07,2.6526,4.1488,2.2334,2.8424,0.98592,4.6771,0.03103,0.11346,0,0.24269,0.39198
0.23925,0.12369,2.6548,0.40174,0.98185,1.462,4.179e-10,1.4147,3.5993,1.8725,1.9616,0.45325,2.6251,0.056585,0.19547,0.22429,0.8494,0.27439
0.059811,0.12369,1.2806,0.1878,0.60567,0.93033,7.1855e-07,1.4147,2.9345,1.1506,3.9167,0.79222,3.8674,0.019468,0.053307,0.024286,2.3864,1.2151
0.059811,0.12369,0.8225,0.15723,0.35488,0.73098,0.0022952,0.88419,2.5843,0.74455,1.6922,0.25955,2.5591,0.030454,0.15737,0.44218,3.0336,2.8615
0.11962,1.6369,1.0515,0.49343,0.35488,0.53162,3.0509,0.35368,3.9075,0.49641,3.5709,1.6154,2.3812,0.048752,0.096609,0.20978,5.056,3.763
0.11962,1.4268,0.59345,0.89076,0.58059,1.5949,2.8806,3.3599,4.2079,0.047685,3.0595,0.13608,2.9214,0.76135,0.55026,0.47214,3.1549,1.6071
1.914,4.5374,0.8225,2.7857,1.0822,1.0632,1.4894,0.88419,2.7587,0.025412,3.5862,0.035108,3.4474,1.1723,0.8969,0.64132,3.5594,3.8414
2.6317,2.0993,0.59345,2.5106,2.2358,1.462,0.2838,0.70735,3.4267,0,4.7738,0.095105,3.1709,1.4072,1.1742,0.8105,1.4157,3.3319
2.3326,1.2166,0.59345,2.2967,2.4114,2.1929,0,1.2379,1.9796,0.017124,2.356,0.033443,3.2392,0.99621,1.1049,0.97969,0.32358,2.2343
2.0934,0.502,0.36441,2.4189,2.612,2.791,0,1.4147,3.2857,0.039311,2.7029,0.068123,0.9867,0.70264,1.5208,1.1489,0.080895,1.0584
1.4953,0.54403,0.36441,2.2661,2.5117,3.4555,0,2.2989,3.5566,0.014849,2.7941,0,2.8742,0.46778,1.7982,1.1489,0.12134,0.62717
1.3757,0.45997,0.36441,2.1439,2.0853,3.3891,0.14427,2.8294,3.7556,0.033503,2.0719,0.048756,3.3773,0.29164,1.1049,0.8105,0.28313,0.27439
0.65792,0.20776,1.5096,1.5326,1.4834,2.9239,0.00090516,2.8294,3.5561,0.05207,2.146,0.12161,1.8234,0.29164,0.55026,0.64132,0.24269,0.078397
0.35887,0.12369,1.9677,0.95189,1.0069,2.9904,5.6332e-07,3.7136,4.636,0.033202,2.8331,0.06567,4.0647,0.17422,0.34228,0.64132,0.64716,0.50958
0.17943,0.12369,2.4258,0.46287,0.75614,2.2594,4.5541e-10,2.1221,2.7218,0.043389,3.1754,0.029226,4.8445,0.40907,0.4116,0.47214,1.173,0.50958
0.17943,0.12369,2.1967,0.37118,0.58059,1.7942,6.9486e-07,1.7684,2.542,0.034613,2.6946,0.082481,1.4116,0.58521,0.4116,0.47214,1.1325,1.0192
0,0.12369,1.7387,0.24893,0.43012,1.1961,0.0021532,1.5915,2.1039,0.026845,3.0182,0.060127,4.2451,1.4659,0.61959,0.30295,3.1145,2.1951
0.17943,1.2166,0.8225,0.70738,0.22948,0.73098,3.0509,0.53051,4.4128,0.016117,2.1504,0.084568,2.9541,3.5209,1.9368,0.47214,2.6291,2.9007
0,0.79624,1.0515,1.0436,0.70598,1.3955,2.9149,1.2379,3.0978,1.4213,1.0327,1.7607,2.5654,1.0549,0.68891,1.3181,2.5482,1.2151
0,0.20776,1.5096,0.55456,0.55551,0.86388,0,0.88419,3.1271,1.2183,3.0263,0.3564,3.6187,1.5246,1.2435,1.6564,1.1325,1.7247
0,0.12369,0.8225,0.70738,0.48027,0.73098,0,0.70735,3.1894,0.76711,3.1408,0.21112,4.1989,2.6402,1.8675,2.3332,0.72806,1.7639
0,0.12369,0.59345,1.4409,0.65583,0.39871,0,0.35368,3.1747,0.6092,1.5293,0.06585,2.9942,2.8163,2.4914,2.5023,0.36403,1.1368
0,0.12369,0.36441,2.3272,0.8063,0.99679,0,0.17684,4.8579,0.65432,4.1752,0.06585,3.4132,1.9943,2.1448,2.8407,0.040448,0.70557
0,0.12369,0.36441,2.5718,1.2076,1.0632,0,0.70735,2.3822,0.94758,4.7232,0.21112,2.6939,1.5833,1.9368,2.3332,0.20224,0.47038
0,0.12369,0.36441,1.8382,1.2828,1.3955,0,0.35368,4.5683,1.1055,3.4236,0.25955,4.3875,0.87878,1.4515,2.3332,0.24269,0.11759
0,0.12369,0.36441,1.716,1.358,1.3955,0,0.88419,2.4598,1.5115,1.3547,0.30797,2.7486,0.58521,1.7288,2.3332,0.20224,0.15679
0,0.12369,0.36441,1.8382,1.5336,1.1297,0,0.88419,3.6638,1.6694,3.402,0.59852,3.4639,0.29164,1.0356,2.3332,0.24269,0.11759
0,0.12369,0.36441,1.6549,1.0069,1.9271,0,0.88419,4.1506,1.692,2.5738,0.69537,2.9439,0.35036,0.68891,1.9948,0.52582,0.47038
0,0.12369,0.36441,1.3492,0.85646,1.9271,0,1.5915,1.6878,1.8499,2.3741,0.64695,2.2645,0.5265,0.68891,1.4872,1.173,0.66637
0,0.12369,0.36441,0.76851,0.78122,1.5284,0,0.70735,4.0104,1.5792,1.5753,0.30797,2.1466,0.58521,0.8969,1.3181,1.173,0.94076
