"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.026333,0,0.65542,0.23739,0.51318,2.7294,0.19666,0.75105,0.47981,4.0554,2.0863,1.3548,1.0917,4.6112,4.2952,1.9013,1.0708
0,0.025143,0.12691,1.8057,0.79777,0.43986,1.3027,0,0.56329,0.4113,2.7256,4.3995,2.6125,1.6379,2.7126,3.8953,2.9654,2.1985
0,0.02561,0.058051,2.9201,1.4827,0.87973,0.2896,0.39331,0.37552,0.61683,3.1306,1.9956,0.53171,1.451,4.4544,2.279,1.206,2.1301
0,0.018639,0.055269,2.7404,2.3232,1.3196,0.072399,0.98328,0.93881,1.2334,0,1.8142,1.3805,1.0054,3.9558,2.7151,0.48242,1.572
0,0.022033,0.052435,2.2371,2.3232,1.8328,0,2.3599,1.8776,1.576,2.4151,1.1338,3.2173,0.73227,2.933,3.1931,0.21283,1.048
0,0,0.07114,1.5182,2.0431,2.6392,0,2.5565,3.192,2.0327,4.4681,1.4513,2.3435,0.55977,2.9985,3.7707,0.29796,0.58094
0,0.011555,0.063378,0.90705,1.5761,3.2257,0.11041,2.7532,3.943,2.3068,2.6503,0.95237,2.5412,0.38727,4.2426,4.2638,0.42566,0.5126
0,0.010646,0.060067,0.65542,0.86003,2.9324,0.0010734,3.1465,4.1308,2.2154,2.1725,0.54416,1.0016,0.43039,3.8635,3.5336,0.4966,0.48982
0,0.02148,0.05745,0.43974,0.67324,2.126,5.9981e-07,3.3432,4.3185,1.439,3.6638,0.45345,0.5373,0.57415,3.1988,2.6821,0.86551,0.56955
0,0.015448,0.1149,0.29595,0.48645,1.5395,4.647e-10,1.9666,3.0042,1.1421,2.8902,0.18131,2.6311,0.86165,3.724,3.759,0.99321,0.71764
0,0.037536,0.10854,0.18811,0.33079,1.173,7.2517e-07,1.5733,1.5021,0.68534,2.811,0.18131,0.91239,1.4079,1.8273,1.7094,1.2202,0.91129
0,0.022783,0.20638,0.15216,0.29966,0.58649,0.0022454,1.3766,1.1266,0.43413,3.102,0.090592,1.0862,1.6954,2.4904,2.5706,1.3905,1.1733
0,0.051155,0.11285,0.72732,0.23739,0.36655,2.7512,0.58997,1.1266,0.25144,4.0599,1.4059,1.4631,2.0979,2.4344,3.4132,1.9155,1.3214
0.57877,0.65159,0.62987,0.11254,0.039635,0,3.0094,0,0,0.0459,4.4347,1.6327,0.96199,3.3917,2.5924,2.4933,2.029,2.1073
2.0131,3.6155,0.4928,0,0.0030259,0,0.86848,0,0,0.0459,3.8687,3.8099,1.3945,3.1617,0.96282,2.8252,4.7106,2.9845
2.9945,3.5278,0.58418,0.062282,0.019269,0,0.072399,0,0,0.0459,3.8858,0.8163,2.2445,3.3054,1.4545,3.8543,4.6539,3.7818
3.4978,4.0188,1.4066,0.085145,0.025077,0,0,0,0,0.0459,0.42308,0.18131,1.156,3.7367,2.6069,1.0882,4.3276,4.4995
3.8501,4.0013,2.96,0.13493,0.02139,0,0,0,0,0.0459,3.5439,0.090592,2.9148,3.7511,1.0801,3.5994,4.4978,4.8526
4.4792,3.9662,2.3204,0.11504,0,0,0,0,0,0.0459,1.5683,0.090592,1.954,3.938,1.1066,2.3743,4.81,5.0576
4.756,3.633,3.0971,0.047789,0.029572,0,0.40484,0,0,0.0459,2.4959,0.18131,3.772,3.5498,1.8147,4.3717,4.5262,5.5588
2.3151,0.73928,6.1126,0.073429,0.056672,0,0.0013231,0,0,0.0459,4.7238,0.18131,3.4264,3.3917,4.7775,2.948,2.1567,4.4425
0.70459,0.10792,5.6557,0.031482,0.043899,0,5.6649e-07,0,0,0.0459,2.7457,0.090592,2.1166,3.593,2.9407,1.1827,1.5466,3.087
0.30197,0.037774,4.285,0.035983,0.036073,0,4.5924e-10,0,0,0.0459,3.5645,0.090592,1.638,3.3054,3.6637,2.7185,1.5466,2.1985
0.075491,0.020236,3.3255,0.1257,0.068738,0,7.2517e-07,0,0,0.0459,1.4923,0.090592,4.1496,3.3054,3.8071,4.3074,1.6601,2.1073
0.050328,0.020236,2.1376,0.030628,0.041255,0,0.0022696,0,0,0.0459,3.7318,0.090592,2.7502,3.4636,3.5112,3.4049,1.4047,2.0618
0.78008,0.68667,0.44711,0.10682,0.0067682,0,3.0046,0,0,0.0459,1.9399,1.2699,1.5207,3.2767,2.5697,2.4879,2.0999,1.9137
0.22647,0.70421,0.21867,0.54758,0.33079,0.58649,3.0794,0,0.18776,0.47981,4.3698,1.4967,2.9417,0.027153,2.9815,2.4767,1.6459,1.2758
1.1072,2.2826,0.31004,3.1717,1.4515,0.6598,1.158,0.19666,0.18776,0.45697,3.6628,4.3541,2.4084,0.036765,3.938,3.7906,1.8729,2.1529
1.686,1.1251,0.17298,2.9201,2.6968,1.4662,0.2172,0.58997,0.18776,1.3476,3.9975,1.6327,1.4483,0.035188,3.5466,2.8387,0.55336,1.6517
1.7111,0.72175,0.081597,2.5966,3.3817,1.9794,0,0.78663,0.56329,1.9642,2.8371,1.4513,1.8486,0.02679,3.1378,2.9967,0.18445,1.2075
1.7363,0.84451,0.17298,2.7044,2.6968,2.7125,0,1.5733,0.37552,2.4895,4.5405,0.8163,2.9122,0.034804,3.932,3.3041,0.24121,0.87711
1.535,0.73928,0.12729,2.5606,2.2298,2.8591,0,1.7699,0.93881,2.9462,3.1882,1.0431,0.67205,0.072857,3.3295,2.67,0.31215,0.43286
1.1827,0.61652,0.17298,2.0214,2.4478,3.299,0.073607,3.1465,2.6287,3.6999,2.0727,1.0431,1.5903,0.036027,3.5083,3.3623,0.14189,0.23921
0.40262,0.12546,1.0868,1.1587,1.5761,2.7858,0.00084875,2.9498,2.4409,3.2431,3.0581,0.63488,1.8647,0,3.3401,2.5827,0.11351,0.022782
0.075491,0.020236,1.2695,0.72732,1.0468,2.1993,5.7482e-07,1.7699,1.3143,2.4895,4.8274,0.8163,1.629,0.029215,2.9383,3.1506,0.29796,0.13669
0,0.020236,1.0411,0.40379,0.73551,1.173,4.5377e-10,1.7699,1.8776,1.85,3.5735,0.36273,4.2113,0.03032,1.2147,1.3819,0.6243,0.28478
0,0.020236,0.76694,0.26001,0.61098,0.95304,7.2517e-07,0.58997,0.37552,1.1421,2.8841,0.13595,3.381,0.02442,2.8459,2.5508,0.8797,0.44425
0,0.020236,0.53849,0.22406,0.51758,0.6598,0.0022696,0.78663,0.93881,0.63967,1.9833,0.13595,2.0181,0.038317,3.5821,2.071,0.82294,0.74042
0.15098,0.70421,0.21867,0.61948,0.33079,0.43986,2.7874,0.39331,1.1266,0.47981,4.4651,2.0409,0.83457,0.034841,2.9789,2.5271,1.731,1.1163
0.22647,0.80943,0.12729,0.47569,0.45532,1.0264,2.7994,0.19666,1.1266,0.0052577,2.1455,0.13278,3.2958,1.3648,4.1182,2.2931,1.4331,0.94546
1.0569,3.0017,0.35573,2.1652,1.0468,1.0264,0.72374,0.39331,0.75105,0.020075,3.0945,0.097352,1.4095,1.5085,2.9932,1.9866,1.7452,1.6745
1.9376,1.8091,0.26435,3.0998,1.7629,1.2463,0.2172,1.1799,0.37552,0.074364,2.823,0.11261,1.848,1.2785,4.4556,2.1678,0.66687,1.4011
2.0886,0.98481,0.12729,2.7044,2.6034,1.6861,0,0.98328,0.37552,0.026714,2.7067,0.067904,0.86158,0.9479,2.6604,2.2422,0.38309,0.83155
2.0634,0.65159,0.12729,2.6325,3.0704,1.8328,0,0.58997,0.75105,0.05498,2.829,0.079495,1.713,0.63165,4.2192,2.6272,0.11351,0.45564
1.5098,0.51129,0.081597,2.3809,2.9459,3.4456,0,0.78663,0.37552,0,3.0532,0.059596,0.83802,0.32977,2.4717,2.9174,0.056755,0.23921
1.3085,0.61652,0.12729,2.3809,3.1327,3.4456,0.33123,2.1632,2.2531,0.050497,2.6283,0.12127,3.0051,0.20039,3.0741,2.9824,0.085132,0.21643
0.42778,0.055311,0.99538,1.4822,2.6034,2.9324,0.0012232,3.7365,2.2531,0.051026,4.8835,0.10044,1.2223,0.11414,3.566,2.7446,0.028377,0.13669
