"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.051387,0.11967,0.21654,0.2277,0.79857,3.0342,0.9188,1.7367,0.78254,3.6944,1.6518,2.8278,3.4499,1.7715,0.44518,2.4326,2.4848
0,0,0.062654,1.3847,0.88079,0.59893,0.72972,1.1026,1.042,0.50331,2.942,3.5526,1.1232,3.2658,3.2238,0.58044,1.2344,2.2498
0,0.028446,0.028434,1.5827,1.3443,1.5306,0.146,1.1026,1.042,1.1692,1.1578,1.034,2.7459,2.2993,4.5018,0.85097,0.25415,1.5782
0,0.12289,0.095825,1.2461,1.5549,2.1961,0,2.0214,1.9103,1.8995,1.5469,0.22614,1.9268,1.3788,3.8047,1.1215,0.036307,1.1753
0,0.10925,0.083081,0.79071,1.5549,2.795,0,3.4914,2.7786,2.3506,3.8508,0.17861,1.5092,0.8265,3.2238,1.7978,0.036307,0.70516
0,0.077545,0.019091,0.69172,1.3864,2.9947,0,2.5726,3.126,2.5224,3.0721,0.17861,2.6596,0.68843,2.9333,1.6625,0.072614,0.43653
0,0.12571,0.13104,0.49373,0.98612,2.7285,0.14843,2.0214,2.7786,2.6942,1.2317,0.27366,1.8136,0.64241,2.6429,1.7978,0.036307,0.26863
0,0.060125,0,0.37493,0.60691,1.9964,0.0011075,1.2863,2.605,2.2861,2.6088,0.27366,1.6843,0.55036,1.7715,2.0683,0.072614,0.13432
0,0.11021,0.15669,0.47393,0.50158,1.7302,6.0477e-07,0.73504,1.042,1.7706,2.5631,0.17861,2.8918,0.64241,1.3648,1.5273,0.32676,0.26863
0,0.012086,0.12848,0.37493,0.43838,1.2644,4.6855e-10,0.9188,0.86833,1.2766,2.3216,0.22614,3.4074,1.1027,1.3067,0.71571,0.98029,0.67158
0,0.031279,0.35338,0.27594,0.45944,1.1313,7.5553e-07,0.18376,0.86833,0.8255,0.77938,0.22614,2.3431,1.1947,1.6553,1.2568,0.87137,1.0074
0,0.065797,0.11641,0.27594,0.35411,0.86512,0.0023127,0.18376,0.34733,0.41739,4.2471,0.17861,2.6798,1.1487,1.6553,1.1215,0.76245,0.67158
0,0.034263,0.29069,0.43433,0.31197,0.46584,2.8834,0.18376,0.521,0.30999,2.7838,1.8419,1.0874,1.1487,1.481,0.98623,0.90768,0.67158
0.48644,0.70571,0.11655,0,0.086606,0,2.999,0,0,0.052232,3.1101,1.2716,3.1249,1.5629,2.2362,4.2325,0.65353,0.43653
1.0613,2.4934,0.47684,0.021572,0.00388,0,1.0946,0,0,0.052232,4.47,3.9328,0.093561,1.3788,2.4686,3.2857,1.7427,1.1417
1.9015,2.1899,0.35674,0.048199,0,0,0.072998,0,0,0.052232,4.6603,0.74887,2.2696,1.9771,2.2362,3.5562,1.1255,1.4103
2.8302,2.5609,0.11655,0.0092828,0.031845,0,0,0,0,0.052232,2.8181,0.41622,1.3448,2.4374,2.759,2.8799,1.1981,1.4439
3.1839,2.2573,0.59693,0.0096156,0.029622,0,0,0,0,0.052232,2.8023,0.17861,0.7075,2.2533,2.5848,2.7447,0.90768,1.3767
3.6262,2.5609,0.23665,0.0044558,0.042414,0,0,0,0,0.052232,1.1817,0.13109,3.0401,2.2993,2.0619,1.6625,0.76245,1.4775
3.5377,2.3922,0.47684,0.042359,0.050755,0,0.18554,0,0,0.052232,3.0032,0.17861,1.5336,2.5294,2.2362,1.7978,1.3797,1.4775
