"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.028109,0.066849,1.287,0.21452,0,2.7695,0,0.072099,0.13696,0.11348,1.9125,0.3014,2.9676,1.3583,4.2801,1.7194,1.526
0,0.019545,0.066428,1.3637,1.3141,0,1.2574,0,0.072099,1.0397,0.23846,3.8153,3.1081,2.7433,2.6906,2.4512,2.7555,2.2104
0,0,0.068298,0.74941,1.5203,0.2692,0.13976,0.20831,0.072099,2.6646,0.98834,1.4844,2.7761,2.4941,2.8356,4.1304,1.9129,2.1457
0,0.028772,0.11162,0.44224,1.1766,0.80761,0,1.1804,0.5768,3.5071,2.0507,0.34281,2.3234,2.2324,3.1392,2.1805,1.6283,2.2844
0,0.0047927,0.069789,0.28865,0.83303,0.53841,0,2.0137,1.2257,3.2062,3.113,0.20011,1.6897,2.4318,2.0519,2.5614,2.3342,2.1179
0,0.0042735,0.028115,0.21186,0.69558,0.40381,0,3.0553,2.5956,2.484,3.1755,0.10498,0.90499,2.5439,2.935,3.813,3.006,2.7283
0,0.0066743,0.095735,0.21186,0.62686,0.1346,0.10657,3.4719,3.4608,1.4609,2.8006,0.15254,0.4523,2.7308,0.68012,3.2222,3.2452,3.163
0,0.019239,0.069679,0.21186,0.28324,0,0.0012047,2.1526,2.8119,0.73877,0.98834,0.057407,0.090148,2.6312,2.2721,1.9837,1.4802,2.8763
0,0.0059091,0.085747,0.13507,0.28324,0,5.5481e-07,1.2499,2.3072,0.55823,0.30095,0.057407,0.059968,2.7931,2.9215,2.1558,1.15,2.2751
0,0.014532,0.061531,0.13507,0.21452,0,4.4853e-10,0.48606,1.2257,0.43787,0.17597,0.057407,0.059968,2.6935,2.2733,3.2624,1.0476,1.7942
0,0.013726,0.13064,0.13507,0.21452,0,7.077e-07,0.069438,0.5768,0.31751,0.17597,0.057407,0.059968,2.843,2.4347,2.8263,1.0589,1.6555
0,0.01618,0,0.13507,0.21452,0,0.0022838,0,0.4326,0.31751,0.11348,0.057407,0.059968,3.005,1.085,3.8802,1.1728,1.5537
0,0.0046206,0.084227,1.287,0.21452,0,3.0048,0,0.2163,0.25732,0.11348,1.4369,0.27122,3.1047,2.7929,2.5841,1.7649,1.6185
