"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.042764,0.090428,2.1967,1.6871,0.27318,3.0515,0,0.085917,0.22247,0.050413,1.5882,0.14934,0.55012,1.4422,2.1065,0.23429,0.12614
0,0.037303,0.092803,1.1644,3.021,1.2748,1.321,0,0.057278,1.2058,0.48164,4.6338,2.3665,0.36469,1.4422,1.8556,0.23429,0.25228
0,0,0.16458,0.31419,1.8488,2.1854,0.29365,0.90785,0.20047,2.7626,1.8328,1.7287,3.0954,0.40178,0.91215,1.2284,0.43512,0.14908
0,0.056469,0.25545,0.10165,1,2.1854,0.073413,2.1561,1.1456,2.8173,2.4365,0.79161,2.3361,0.6243,0.6712,0.6011,0.97065,0.38989
0,0.057231,0.14027,0.040921,0.63624,1.6391,0,2.8938,2.0334,2.4076,2.839,0.088782,1.3338,1.5144,0.91215,0.47564,1.7572,0.83713
0,0.057732,0.16481,0.040921,0.51499,1.457,0,3.2342,2.2911,1.5881,3.1265,0.041926,1.0301,3.0349,2.1651,0.72655,0.83677,1.1009
0,0.04678,0.20215,0.040921,0.43415,1.0017,0.074637,3.0072,2.6061,1.1238,1.7753,0.041926,0.36194,3.8137,3.7554,1.6047,0.20082,0.68805
0,0.036182,0.12469,0.071284,0.31289,0.72848,0.0011897,1.5604,2.2625,0.79606,0.45289,0.088782,0.027852,3.3316,3.8518,2.8592,0.050206,0.43576
0,0.062067,0.2711,0.071284,0.27247,0.63742,6.4199e-07,0.90785,2.0334,0.46829,0.2804,0.088782,0.058224,2.4786,3.2253,3.1102,0.050206,0.21788
0,0.052031,0.066076,0.19274,0.27247,0.63742,4.823e-10,0.48229,1.3174,0.33173,0.2229,0.088782,0.027852,1.6998,2.9843,3.9883,0,0.068805
0,0.038288,0.21359,0.64818,0.35331,0.54636,7.5166e-07,0.2837,0.68733,0.16785,0.13666,0.041926,0.027852,1.4031,2.4061,3.8629,0.016735,0.057337
0,0.04767,0.10573,1.0429,0.7575,0.36424,0.0023014,0.02837,0.34367,0.11322,0.050413,0.088782,0.027852,1.1435,1.7796,3.3611,0.15062,0.068805
0,0.047433,0,2.4396,1.6063,0.4553,2.753,0,0.14319,0.33173,0.13666,1.2602,0.17971,0.80973,1.3459,2.8592,0.25103,0.16054
0.16622,0.21887,0.21221,0,0.072375,0,2.7321,0,0.028639,0.058591,0.079161,1.2602,0.14934,1.4402,2.5024,2.4829,0.20082,0.26375
0.58177,1.6378,0.26581,0.0095078,0.046578,0,0.95403,0,0,0.52292,0.16541,3.6966,2.9739,1.2177,2.4542,2.6083,0.46859,0.28669
0.91422,1.3625,0.21221,0.074372,0.08835,0,0.22024,0.19859,0.057278,1.3423,0.74037,1.3539,3.3688,1.2548,2.3579,1.9811,0.26777,0.24082
1.219,1.1507,0.26581,0.044599,0.076265,0,0,0.85111,0.34367,1.5335,1.3153,0.18249,2.488,1.1435,2.3579,1.3538,0.53553,0.26375
1.4406,1.1083,0.31941,0.022716,0.11774,0,0,1.5887,0.71597,1.6428,1.9765,0.041926,1.2427,1.1435,2.5024,1.7302,0.23429,0.25228
1.3575,1.3837,0.26581,0.034143,0.075384,0,0,1.8724,1.3747,1.2877,2.2065,0.041926,0.63529,1.1435,1.4904,1.8556,0.71962,0.26375
1.5791,1.6166,0.42661,0.035095,0.094583,0,0.22391,2.1561,2.1479,0.46829,1.3728,0.32306,0.24045,1.366,1.5386,1.3538,1.1547,0.68805
0.49866,0.26123,1.713,0.035967,0.078359,0,0.0011644,1.0497,1.7756,0.24979,0.3379,0.041926,0.027852,2.5528,1.4904,1.4793,0.33471,0.72245
0.13852,0.070626,1.6594,0.0081233,0.037814,0,6.0821e-07,0.62414,1.4033,0.22247,0.16541,0.041926,0.027852,2.5157,1.635,1.3538,0.31797,0.5275
